NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	84	0.3225582242012024	-0.008666225	Yes	
row_1	BCAT1	166	0.29827815294265747	-0.016437462	Yes	
row_2	PSMA2	236	0.2862759530544281	-0.020628747	Yes	
row_3	SLC7A11	335	0.27175191044807434	-0.033471584	Yes	
row_4	MTAP	353	0.26962292194366455	-0.02214974	Yes	
row_5	SHMT1	384	0.2658534646034241	-0.0147061795	Yes	
row_6	FARSB	444	0.2592516541481018	-0.01591417	Yes	
row_7	GCLM	480	0.25510379672050476	-0.009962257	Yes	
row_8	DHFR	484	0.25474387407302856	0.0055361968	Yes	
row_9	GART	491	0.2538265287876129	0.020139663	Yes	
row_10	PSMB5	501	0.25227493047714233	0.03384814	Yes	
row_11	PSMD14	525	0.2500828206539154	0.043380007	Yes	
row_12	PSMD11	527	0.249762624502182	0.059475116	Yes	
row_13	GCLC	528	0.2496975213289261	0.07586856	Yes	
row_14	PSAT1	592	0.24521209299564362	0.073467255	Yes	
row_15	ACAT1	641	0.23995579779148102	0.075540885	Yes	
row_16	PHGDH	648	0.2394983023405075	0.09014435	Yes	
row_17	ALDH18A1	722	0.23185580968856812	0.08475975	Yes	
row_18	PSMA5	742	0.22988566756248474	0.09548493	Yes	
row_19	PSMC2	762	0.22790132462978363	0.10621011	Yes	
row_20	PSMB3	764	0.22787414491176605	0.12230523	Yes	
row_21	OAT	778	0.22662308812141418	0.13482039	Yes	
row_22	CTH	786	0.22581979632377625	0.14912552	Yes	
row_23	EEF1E1	821	0.22314226627349854	0.15537576	Yes	
row_24	KYAT3	832	0.22217202186584473	0.16878591	Yes	
row_25	PSMB4	873	0.21897247433662415	0.17324618	Yes	
row_26	PSMD4	911	0.21592850983142853	0.17860143	Yes	
row_27	PSME1	914	0.2156582772731781	0.19439822	Yes	
row_28	PARK7	921	0.21481627225875854	0.20900169	Yes	
row_29	DPYD	948	0.21323731541633606	0.21763857	Yes	
row_30	BPHL	985	0.21088510751724243	0.22329214	Yes	
row_31	APIP	1051	0.20462912321090698	0.22029418	Yes	
row_32	BCKDK	1116	0.20019292831420898	0.21759455	Yes	
row_33	GCAT	1117	0.20016513764858246	0.23398799	Yes	
row_34	ALDH6A1	1134	0.19869782030582428	0.24560815	Yes	
row_35	PSMC4	1137	0.1985262930393219	0.26140493	Yes	
row_36	PSME3	1203	0.19359856843948364	0.25840697	Yes	
row_37	PSMB6	1228	0.19151939451694489	0.2676405	Yes	
row_38	PSMA4	1229	0.1914752870798111	0.28403395	Yes	
row_39	AIMP2	1261	0.1890992671251297	0.29117918	Yes	
row_40	PSMD2	1263	0.18902002274990082	0.30727428	Yes	
row_41	GLS2	1268	0.18851400911808014	0.32247442	Yes	
row_42	ABAT	1283	0.18705959618091583	0.33469126	Yes	
row_43	QDPR	1337	0.18103894591331482	0.33527324	Yes	
row_44	PSMB10	1450	0.17187926173210144	0.3182538	Yes	
row_45	ATP2B4	1459	0.1697978526353836	0.33226058	Yes	
row_46	SLC7A7	1465	0.16911718249320984	0.3471624	Yes	
row_47	PSME2	1499	0.1648457944393158	0.35371095	Yes	
row_48	SHMT2	1557	0.1580398827791214	0.3530996	Yes	
row_49	RIMKLA	1558	0.15801718831062317	0.36949307	Yes	
row_50	DDC	1590	0.15441541373729706	0.3766383	Yes	
row_51	DDAH2	1705	0.13376349210739136	0.3590222	No	
row_52	GNMT	2025	0.03531907498836517	0.28024858	No	
row_53	ATCAY	2073	0.01833115890622139	0.28262052	No	
row_54	NAT8L	2196	0.0024885262828320265	0.2626178	No	
row_55	KYNU	2435	7.683287549298257E-5	0.20800884	No	
row_56	GAD1	2479	4.018526669824496E-5	0.21157412	No	
row_57	ARG2	2773	1.1318478954081002E-7	0.14055705	No	
row_58	UPB1	2932	8.943544238526613E-10	0.10981446	No	
row_59	SLC39A8	3102	9.818458979876654E-13	0.07579024	No	
row_60	NQO1	3307	6.074636574757736E-18	0.03132449	No	
