NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KNL1	12	0.3871833086013794	0.0013180013	Yes	
row_1	SNRPF	31	0.3582131862640381	7.6975074E-4	Yes	
row_2	MIS18BP1	34	0.3530074656009674	0.005198172	Yes	
row_3	DIAPH3	51	0.3393147587776184	0.005272005	Yes	
row_4	CTNNA2	56	0.3329114615917206	0.0090783425	Yes	
row_5	TPX2	72	0.3270148038864136	0.009463218	Yes	
row_6	NAP1L1	77	0.32418060302734375	0.013269555	Yes	
row_7	RIC3	85	0.32223984599113464	0.016142767	Yes	
row_8	UNC13A	86	0.3219583332538605	0.021193272	Yes	
row_9	ANLN	87	0.3212633728981018	0.026243776	Yes	
row_10	CENPH	89	0.3203774690628052	0.03098324	Yes	
row_11	HELLS	95	0.31842440366744995	0.034478534	Yes	
row_12	HSP90AB1	107	0.31520652770996094	0.036107577	Yes	
row_13	CENPF	113	0.3124740719795227	0.039602872	Yes	
row_14	CENPK	126	0.30826956033706665	0.040920876	Yes	
row_15	EIF5	151	0.30168384313583374	0.03850637	Yes	
row_16	STMN1	176	0.2965313196182251	0.036091868	Yes	
row_17	CYFIP2	186	0.29466357827186584	0.038342997	Yes	
row_18	SET	192	0.2935367524623871	0.041838292	Yes	
row_19	FBXO5	213	0.29041382670402527	0.04066796	Yes	
row_20	SNRPD1	214	0.29035741090774536	0.04571846	Yes	
row_21	LSM4	224	0.2875712811946869	0.04796959	Yes	
row_22	SPIRE2	228	0.2871713638305664	0.052086968	Yes	
row_23	ADD3	250	0.2831341326236725	0.05060559	Yes	
row_24	CENPE	259	0.28172606229782104	0.05316776	Yes	
row_25	MRPL20	266	0.2808970808982849	0.056352016	Yes	
row_26	COX10	279	0.27925917506217957	0.057670016	Yes	
row_27	SNAP91	285	0.2781975269317627	0.06116531	Yes	
row_28	CENPN	290	0.2775578796863556	0.06497165	Yes	
row_29	SNAP25	292	0.2774108350276947	0.06971111	Yes	
row_30	ANP32B	294	0.27726829051971436	0.074450575	Yes	
row_31	ASF1A	296	0.2769898772239685	0.07919004	Yes	
row_32	GMNN	306	0.275909960269928	0.081441164	Yes	
row_33	IQGAP2	327	0.2731771469116211	0.08027083	Yes	
row_34	KANK1	336	0.27154698967933655	0.082833	Yes	
row_35	CENPP	341	0.270734578371048	0.08663934	Yes	
row_36	EIF2S2	348	0.2699671685695648	0.08982359	Yes	
row_37	CDT1	378	0.2666721045970917	0.085853875	Yes	
row_38	EIF3A	385	0.2656762897968292	0.08903813	Yes	
row_39	CENPI	387	0.26541486382484436	0.0937776	Yes	
row_40	EIF4H	405	0.26341620087623596	0.093540385	Yes	
row_41	MCM7	408	0.2630619704723358	0.09796881	Yes	
row_42	HMGB2	414	0.26226359605789185	0.1014641	Yes	
row_43	PAK3	428	0.26100030541419983	0.10247106	Yes	
row_44	CENPV	437	0.2602290213108063	0.10503323	Yes	
row_45	GEMIN5	509	0.2516792416572571	0.08799975	Yes	
row_46	ERC2	513	0.2515240013599396	0.09211713	Yes	
row_47	SNRPG	523	0.2502483129501343	0.094368264	Yes	
row_48	PSMD11	527	0.249762624502182	0.09848564	Yes	
row_49	ICAM1	532	0.2494228631258011	0.10229198	Yes	
row_50	PFDN6	533	0.24940451979637146	0.10734248	Yes	
row_51	RPL5	590	0.24525506794452667	0.09497464	Yes	
row_52	USP39	601	0.24461346864700317	0.09691472	Yes	
row_53	RBBP7	606	0.2443094700574875	0.10072106	Yes	
row_54	ANGPT1	617	0.24297288060188293	0.10266114	Yes	
row_55	NUP93	625	0.24166254699230194	0.10553435	Yes	
row_56	SRPK1	647	0.23959162831306458	0.104052976	Yes	
row_57	CENPQ	652	0.2391260415315628	0.10785931	Yes	
row_58	EIF3C	660	0.23840124905109406	0.110732526	Yes	
row_59	CCT2	668	0.23775725066661835	0.11360574	Yes	
row_60	TRIM27	673	0.23703637719154358	0.117412075	Yes	
row_61	NAF1	677	0.2365611344575882	0.12152945	Yes	
row_62	PSMG2	701	0.23416118323802948	0.119426	Yes	
row_63	RPS3	702	0.23400427401065826	0.1244765	Yes	
row_64	PMEPA1	733	0.23065342009067535	0.12019575	Yes	
row_65	NUDT21	752	0.22875584661960602	0.119647495	Yes	
row_66	RTN4	761	0.2279723584651947	0.12220966	Yes	
row_67	PSMC2	762	0.22790132462978363	0.12726016	Yes	
row_68	PSIP1	772	0.2272082269191742	0.1295113	Yes	
row_69	GSN	793	0.22518499195575714	0.12834096	Yes	
row_70	UBE2K	807	0.22410690784454346	0.12934792	Yes	
row_71	ADRM1	811	0.22396738827228546	0.1334653	Yes	
row_72	FKBP4	826	0.22274616360664368	0.13416122	Yes	
row_73	UNC13C	834	0.22202210128307343	0.13703443	Yes	
row_74	ASF1B	843	0.22142814099788666	0.1395966	Yes	
row_75	SNRPE	862	0.21977493166923523	0.13904835	Yes	
row_76	NDUFB8	891	0.21742810308933258	0.13538967	Yes	
row_77	NDUFS2	901	0.21666944026947021	0.1376408	Yes	
row_78	COX7A2	903	0.21632958948612213	0.14238027	Yes	
row_79	PSMD4	911	0.21592850983142853	0.14525348	Yes	
row_80	EIF3D	927	0.21445098519325256	0.14563835	Yes	
row_81	NDUFAB1	939	0.21390396356582642	0.1472674	Yes	
row_82	PPAN	976	0.211350679397583	0.14112039	Yes	
row_83	ARL2	980	0.21104419231414795	0.14523777	Yes	
row_84	RUVBL2	1029	0.20585793256759644	0.13535826	Yes	
row_85	PFN1	1037	0.2052796185016632	0.13823147	Yes	
row_86	VILL	1041	0.20505882799625397	0.14234886	Yes	
row_87	CENPT	1064	0.20393213629722595	0.14055642	Yes	
row_88	CLTA	1071	0.20358659327030182	0.14374068	Yes	
row_89	TGFB1	1089	0.20182788372039795	0.14350347	Yes	
row_90	TUBGCP3	1122	0.19963738322257996	0.13860063	Yes	
row_91	SMN1	1133	0.19892610609531403	0.14054072	Yes	
row_92	CDC42EP3	1136	0.19864585995674133	0.14496915	Yes	
row_93	PSMC4	1137	0.1985262930393219	0.15001965	Yes	
row_94	NDUFA13	1144	0.19798927009105682	0.1532039	Yes	
row_95	VASP	1159	0.19660510122776031	0.15389982	Yes	
row_96	TAF10	1172	0.1955023556947708	0.15521783	Yes	
row_97	CENPM	1182	0.19470199942588806	0.15746894	Yes	
row_98	NDUFB7	1185	0.19460953772068024	0.16189738	Yes	
row_99	SART1	1187	0.194477379322052	0.16663682	Yes	
row_100	NDUFV3	1202	0.1936284601688385	0.16733275	Yes	
row_101	NDUFS8	1209	0.1930149793624878	0.170517	Yes	
row_102	CHMP4B	1217	0.19251015782356262	0.17339021	Yes	
row_103	TRIM6	1224	0.19221094250679016	0.17657447	Yes	
row_104	NDUFB6	1227	0.1916351467370987	0.18100289	Yes	
row_105	NDUFA6	1242	0.19021925330162048	0.1816988	Yes	
