NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIEZO2	737	0.23019956052303314	-0.15819651	No	
row_1	ADGRV1	1495	0.16574311256408691	-0.32228228	Yes	
row_2	COL11A1	1630	0.14933493733406067	-0.30291694	Yes	
row_3	SERPINE2	1696	0.13612982630729675	-0.26323357	Yes	
row_4	FYN	1790	0.11484897136688232	-0.2317952	Yes	
row_5	WHRN	1854	0.09593289345502853	-0.19152293	Yes	
row_6	CACNB3	1873	0.09088364243507385	-0.13799974	Yes	
row_7	KIT	1886	0.08686612546443939	-0.08270978	Yes	
row_8	JUP	1917	0.07446067035198212	-0.032720175	Yes	
row_9	HTR2A	2441	6.930167728569359E-5	-0.12790136	Yes	
row_10	PKD2L1	2477	4.0569237171439454E-5	-0.07938408	Yes	
row_11	PHF24	2508	2.445308018650394E-5	-0.02939447	Yes	
row_12	ITGA2	2515	2.3049058654578403E-5	0.027662275	Yes	
row_13	PKD1L1	2587	6.802945335948607E-6	0.065578856	Yes	
row_14	TTN	2791	6.420905407367172E-8	0.06462617	Yes	
row_15	HPN	2858	1.0518640181089722E-8	0.104015075	Yes	
row_16	PDZD7	3284	3.6114020638517994E-17	0.037691366	Yes	
