NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FMN2	4	0.4170920252799988	0.0030152472	Yes	
row_1	CDK1	14	0.38188838958740234	0.0044576726	Yes	
row_2	DUT	46	0.3413175046443939	-0.001020317	Yes	
row_3	GPC3	63	0.33117809891700745	-0.0017798417	Yes	
row_4	SMPDL3B	81	0.3229745328426361	-0.002853931	Yes	
row_5	PSMD1	84	0.3225582242012024	7.90445E-4	Yes	
row_6	RNF150	92	0.3192429840564728	0.0028619992	Yes	
row_7	ANXA2	100	0.31725645065307617	0.0049335533	Yes	
row_8	HSP90AB1	107	0.31520652770996094	0.007319672	Yes	
row_9	TNFAIP3	155	0.30044835805892944	-0.003191347	Yes	
row_10	BCAT1	166	0.29827815294265747	-0.0020634858	Yes	
row_11	MAOA	178	0.29617083072662354	-0.0012501889	Yes	
row_12	HMMR	182	0.29524287581443787	0.0020796226	Yes	
row_13	IL33	195	0.2930675446987152	0.0025783551	Yes	
row_14	AURKB	205	0.2921940088272095	0.004020781	Yes	
row_15	FBXO5	213	0.29041382670402527	0.006092335	Yes	
row_16	HSPA5	220	0.2880741059780121	0.008478453	Yes	
row_17	PSMA2	236	0.2862759530544281	0.008033493	Yes	
row_18	NEDD4L	262	0.28136032819747925	0.0044428892	Yes	
row_19	DTL	278	0.2795591354370117	0.003997929	Yes	
row_20	CD44	291	0.27746596932411194	0.0044966615	Yes	
row_21	KIF14	307	0.27565503120422363	0.004051701	Yes	
row_22	EPHA4	328	0.27314770221710205	0.0020339189	Yes	
row_23	USP15	347	0.27017781138420105	6.4526545E-4	Yes	
row_24	UCHL3	349	0.2698538601398468	0.0046042055	Yes	
row_25	DAB2IP	350	0.26983967423439026	0.00887771	Yes	
row_26	NFE2L2	381	0.2664867639541626	0.0037142849	Yes	
row_27	SHMT1	384	0.2658534646034241	0.0073586605	Yes	
row_28	CSNK2A2	386	0.26545581221580505	0.0113176005	Yes	
row_29	PDE1A	447	0.2588854730129242	-0.0032827544	Yes	
row_30	CDC34	460	0.2569652199745178	-0.002784022	Yes	
row_31	BUB3	470	0.25600165128707886	-0.0013415964	Yes	
row_32	BARD1	499	0.25273585319519043	-0.005875893	Yes	
row_33	PSMB5	501	0.25227493047714233	-0.0019169529	Yes	
row_34	HINT1	507	0.2517985999584198	7.8372995E-4	Yes	
row_35	PSMD14	525	0.2500828206539154	-2.9035914E-4	Yes	
row_36	PSMD11	527	0.249762624502182	0.0036685811	Yes	
row_37	VCP	544	0.24864909052848816	0.0029090564	Yes	
row_38	CTSL	545	0.2484978884458542	0.007182561	Yes	
row_39	CDH1	582	0.24582092463970184	1.3174943E-4	Yes	
row_40	RPL5	590	0.24525506794452667	0.0022033036	Yes	
row_41	ANAPC5	594	0.24505531787872314	0.005533115	Yes	
row_42	MSN	598	0.24483166635036469	0.008862927	Yes	
row_43	ATRAID	600	0.24465085566043854	0.012821867	Yes	
row_44	ELOC	616	0.24329762160778046	0.012376906	Yes	
row_45	EZR	626	0.24163776636123657	0.013819332	Yes	
row_46	ACAT1	641	0.23995579779148102	0.013688936	Yes	
row_47	CCNF	644	0.23985645174980164	0.017333312	Yes	
row_48	CCNB1	664	0.2379988580942154	0.015630094	Yes	
row_49	HSPG2	670	0.2376057654619217	0.018330777	Yes	
row_50	HMGCR	671	0.23723337054252625	0.022604281	Yes	
row_51	SORL1	675	0.23681743443012238	0.025934093	Yes	
row_52	UBXN1	685	0.23586121201515198	0.027376518	Yes	
row_53	PDE8B	707	0.23344358801841736	0.025044171	Yes	
row_54	BNIP3L	728	0.23136268556118011	0.02302639	Yes	
row_55	UBE2H	739	0.23008519411087036	0.024154251	Yes	
row_56	PSMA5	742	0.22988566756248474	0.027798627	Yes	
row_57	TIMP2	746	0.229355588555336	0.031128438	Yes	
row_58	WWTR1	747	0.22907523810863495	0.035401944	Yes	
row_59	FAF1	754	0.2286899983882904	0.03778806	Yes	
row_60	OTUD7A	756	0.22862455248832703	0.041747	Yes	
row_61	PSMC2	762	0.22790132462978363	0.044447683	Yes	
row_62	PSMB3	764	0.22787414491176605	0.048406623	Yes	
row_63	FAM83D	768	0.22749780118465424	0.051736437	Yes	
row_64	OAT	778	0.22662308812141418	0.05317886	Yes	
row_65	GUSB	779	0.22660015523433685	0.057452366	Yes	
row_66	NEDD4	781	0.22639767825603485	0.061411306	Yes	
row_67	CTH	786	0.22581979632377625	0.064426556	Yes	
row_68	VPS36	788	0.2255043238401413	0.0683855	Yes	
row_69	UBE2K	807	0.22410690784454346	0.06699684	Yes	
row_70	ADRM1	811	0.22396738827228546	0.07032665	Yes	
row_71	NT5C	814	0.22376294434070587	0.073971026	Yes	
row_72	CAV1	820	0.22340364754199982	0.07667171	Yes	
row_73	PBK	823	0.2230876386165619	0.08031609	Yes	
row_74	FBXL16	825	0.22281993925571442	0.08427503	Yes	
row_75	UBE2Z	827	0.22268961369991302	0.08823396	Yes	
row_76	ALDH1L2	849	0.22081491351127625	0.08590162	Yes	
row_77	SNX5	871	0.21902479231357574	0.08356927	Yes	
row_78	PSMB4	873	0.21897247433662415	0.087528214	Yes	
row_79	SMAD7	877	0.21865582466125488	0.09085803	Yes	
row_80	UBE2B	888	0.21759209036827087	0.09198589	Yes	
row_81	SMPD3	889	0.21756257116794586	0.09625939	Yes	
row_82	TRIB2	908	0.21605002880096436	0.09487074	Yes	
row_83	PSMD4	911	0.21592850983142853	0.098515116	Yes	
row_84	PSME1	914	0.2156582772731781	0.10215949	Yes	
row_85	PDE10A	915	0.21535667777061462	0.106433	Yes	
row_86	PARK7	921	0.21481627225875854	0.109133676	Yes	
row_87	DPYD	948	0.21323731541633606	0.105228506	Yes	
row_88	CDKN1B	954	0.2128262221813202	0.10792919	Yes	
row_89	SDC4	964	0.21200105547904968	0.10937162	Yes	
row_90	ELOB	966	0.21194617450237274	0.11333056	Yes	
row_91	UBXN4	973	0.21148359775543213	0.11571667	Yes	
row_92	SNF8	996	0.20900915563106537	0.113069765	Yes	
row_93	FZR1	1001	0.20843274891376495	0.116085015	Yes	
row_94	UHRF1	1010	0.2077365666627884	0.117842	Yes	
row_95	MYCBP2	1024	0.20617251098155975	0.11802617	Yes	
row_96	TRIM2	1054	0.20445555448532104	0.11317731	Yes	
row_97	SDC1	1061	0.20409318804740906	0.11556343	Yes	
row_98	BNIP3	1069	0.20366528630256653	0.11763498	Yes	
row_99	CLTA	1071	0.20358659327030182	0.12159392	Yes	
row_100	ANAPC11	1073	0.20345762372016907	0.12555286	Yes	
row_101	TGFB1	1089	0.20182788372039795	0.1251079	Yes	
row_102	PCSK9	1096	0.201371431350708	0.12749402	Yes	
row_103	AURKA	1097	0.20135822892189026	0.13176753	Yes	
row_104	TMF1	1105	0.20064231753349304	0.13383909	Yes	
row_105	ROCK1	1110	0.20042528212070465	0.13685432	Yes	
row_106	BCKDK	1116	0.20019292831420898	0.139555	Yes	
row_107	GCAT	1117	0.20016513764858246	0.14382851	Yes	
row_108	ALDH6A1	1134	0.19869782030582428	0.14306898	Yes	
row_109	MLYCD	1135	0.1986924260854721	0.14734249	Yes	
row_110	PSMC4	1137	0.1985262930393219	0.15130143	Yes	
row_111	NDUFA13	1144	0.19798927009105682	0.15368755	Yes	
row_112	NAGK	1149	0.19766995310783386	0.1567028	Yes	
row_113	BAG2	1166	0.19602249562740326	0.15594327	Yes	
row_114	TIPARP	1170	0.1957869976758957	0.15927309	Yes	
row_115	NUDT9	1184	0.19467420876026154	0.15945725	Yes	
row_116	JKAMP	1191	0.19419923424720764	0.16184337	Yes	
row_117	PSME3	1203	0.19359856843948364	0.16265666	Yes	
row_118	USE1	1213	0.1928228735923767	0.1640991	Yes	
row_119	CHMP4B	1217	0.19251015782356262	0.16742891	Yes	
row_120	FBXO22	1219	0.19243808090686798	0.17138785	Yes	
row_121	PSMB6	1228	0.19151939451694489	0.17314483	Yes	
row_122	PSMA4	1229	0.1914752870798111	0.17741834	Yes	
row_123	SELENOS	1232	0.19133414328098297	0.18106271	Yes	
row_124	SQSTM1	1233	0.19130194187164307	0.18533622	Yes	
row_125	PDE8A	1239	0.19069260358810425	0.1880369	Yes	
row_126	EDEM2	1245	0.19015708565711975	0.19073759	Yes	
row_127	RELA	1259	0.18919995427131653	0.19092175	Yes	
row_128	PSMD2	1263	0.18902002274990082	0.19425157	Yes	
row_129	GLS2	1268	0.18851400911808014	0.19726682	Yes	
row_130	FLNA	1275	0.18759256601333618	0.19965293	Yes	
row_131	ACOT7	1277	0.18753266334533691	0.20361187	Yes	
row_132	ABAT	1283	0.18705959618091583	0.20631255	Yes	
row_133	UBE2D3	1288	0.1866898387670517	0.2093278	Yes	
row_134	UBE2C	1309	0.18384690582752228	0.20731002	Yes	
row_135	AUP1	1334	0.1812426596879959	0.20403399	Yes	
row_136	QDPR	1337	0.18103894591331482	0.20767836	Yes	
row_137	ALAD	1353	0.17964154481887817	0.2072334	Yes	
row_138	MVB12A	1361	0.17903098464012146	0.20930494	Yes	
row_139	CTSA	1372	0.1782883107662201	0.21043281	Yes	
row_140	SIRT2	1395	0.17659775912761688	0.2077859	Yes	
row_141	LRP1	1443	0.1725364476442337	0.19727488	Yes	
row_142	PSMB10	1450	0.17187926173210144	0.199661	Yes	
row_143	HEXA	1455	0.1709778904914856	0.20267625	Yes	
row_144	ATP2B4	1459	0.1697978526353836	0.20600607	Yes	
row_145	NKD2	1460	0.16953331232070923	0.21027957	Yes	
row_146	ZNRF1	1462	0.16949133574962616	0.21423851	Yes	
row_147	PTK2B	1492	0.16579346358776093	0.20938964	Yes	
row_148	PSME2	1499	0.1648457944393158	0.21177576	Yes	
row_149	CTSC	1521	0.16211792826652527	0.20944342	Yes	
row_150	EFNA1	1555	0.15832290053367615	0.2033363	Yes	
row_151	SHMT2	1557	0.1580398827791214	0.20729524	Yes	
row_152	HPSE	1573	0.1572055071592331	0.20685028	Yes	
row_153	CEBPA	1575	0.1570296585559845	0.21080922	Yes	
row_154	CTSZ	1584	0.15543529391288757	0.21256621	Yes	
row_155	VLDLR	1623	0.15046554803848267	0.20488627	Yes	
row_156	UNG	1635	0.14877933263778687	0.20569956	Yes	
row_157	LNX1	1651	0.14540207386016846	0.2052546	Yes	
row_158	GGT7	1652	0.14530733227729797	0.2095281	Yes	
row_159	TIMP3	1681	0.13897734880447388	0.20499381	Yes	
row_160	SERPINE2	1696	0.13612982630729675	0.20486341	Yes	
row_161	DDAH2	1705	0.13376349210739136	0.20662041	Yes	
row_162	PLK1	1720	0.13122515380382538	0.20649001	Yes	
row_163	BRSK2	1732	0.12828128039836884	0.2073033	Yes	
row_164	UPP1	1735	0.12752367556095123	0.21094768	Yes	
row_165	PTTG1	1737	0.1271449774503708	0.21490662	Yes	
row_166	RNF130	1756	0.12425606697797775	0.21351796	Yes	
row_167	SMPD1	1763	0.12252391874790192	0.21590409	Yes	
row_168	SNCA	1768	0.12051795423030853	0.21891934	Yes	
row_169	PTTG1IP	1780	0.11824322491884232	0.21973263	Yes	
