NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNK2	27	0.36526450514793396	0.01580003	No	
row_1	GSTO1	359	0.26861196756362915	-0.058580898	No	
row_2	ATP1B3	435	0.2604856491088867	-0.057019964	No	
row_3	CALM3	650	0.23937758803367615	-0.09669309	No	
row_4	RYR2	775	0.22670197486877441	-0.109667905	No	
row_5	FGF14	829	0.22235719859600067	-0.10158072	No	
row_6	ATP1B1	937	0.21395626664161682	-0.109512515	No	
row_7	F2R	1127	0.19921185076236725	-0.14176944	No	
row_8	FLNA	1275	0.18759256601333618	-0.16156717	No	
row_9	SRI	1488	0.16588562726974487	-0.200647	No	
row_10	SNCA	1768	0.12051795423030853	-0.25960222	Yes	
row_11	CXCL10	1825	0.10632205754518509	-0.252405	Yes	
row_12	BDKRB1	1838	0.10182798653841019	-0.23215523	Yes	
row_13	EPHB2	1847	0.09840647876262665	-0.2107189	Yes	
row_14	CACNA2D1	1867	0.092423215508461	-0.19254568	Yes	
row_15	CACNB3	1873	0.09088364243507385	-0.17021939	Yes	
row_16	TESC	1928	0.06992333382368088	-0.16242886	Yes	
row_17	TRPC1	1935	0.06836146116256714	-0.14039922	Yes	
row_18	EDN3	2015	0.03982604667544365	-0.14002489	Yes	
row_19	RAMP3	2098	0.012884818017482758	-0.14054048	Yes	
row_20	HAP1	2218	0.0018292685272172093	-0.15203206	Yes	
row_21	P2RY6	2281	7.468859548680484E-4	-0.1466147	Yes	
row_22	CEMIP	2285	7.200720137916505E-4	-0.12369513	Yes	
row_23	CACNG3	2341	2.581251901574433E-4	-0.11620124	Yes	
row_24	SHANK3	2380	1.4812748122494668E-4	-0.10366433	Yes	
row_25	ACE2	2416	9.884592873277143E-5	-0.09023748	Yes	
row_26	THY1	2472	4.6422690502367914E-5	-0.08274359	Yes	
row_27	RELN	2500	2.6985762815456837E-5	-0.06694356	Yes	
row_28	KCNC2	2631	3.4320171380386455E-6	-0.08169826	Yes	
row_29	EHD3	2643	2.663354052856448E-6	-0.061151866	Yes	
row_30	CTSS	2682	1.1661092003123485E-6	-0.04861496	Yes	
row_31	CACNG4	2688	1.054241465681116E-6	-0.026288677	Yes	
row_32	KCNMB1	2693	9.406815593138163E-7	-0.0036657436	Yes	
row_33	CACNG2	2766	1.2158507445292344E-7	-0.0012148677	Yes	
row_34	FXYD1	2888	3.807410386968968E-9	-0.013299739	Yes	
row_35	PIRT	2937	7.053874151452533E-10	-0.0037293131	Yes	
row_36	KCNIP2	3082	2.630579564941171E-12	-0.022637086	Yes	
row_37	CCL2	3092	1.3878126078892272E-12	-0.0014973923	Yes	
row_38	RGS9	3135	2.0215673210942364E-13	0.009852921	Yes	
row_39	AKAP6	3160	4.28161534547257E-14	0.026542895	Yes	
row_40	KCNH2	3237	6.091893249784042E-16	0.02780718	Yes	
row_41	PDZK1	3273	6.457444347154824E-17	0.041234028	Yes	
