NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL33	195	0.2930675446987152	0.0050964095	No	
row_1	THBS1	1075	0.20327626168727875	-0.19116132	No	
row_2	BCL10	1267	0.18853366374969482	-0.1848874	No	
row_3	SELENOK	1445	0.17227409780025482	-0.1744922	No	
row_4	DDT	1721	0.13099130988121033	-0.19294597	No	
row_5	IL1A	2293	6.213339511305094E-4	-0.29853547	Yes	
row_6	NOD1	2355	2.0334255532361567E-4	-0.25399247	Yes	
row_7	IL6	2488	3.43419196724426E-5	-0.2303503	Yes	
row_8	SYK	2576	8.246969628089573E-6	-0.19346114	Yes	
row_9	ISL1	2610	4.867843927058857E-6	-0.14067559	Yes	
row_10	CD86	2730	4.005056553069153E-7	-0.11320649	Yes	
row_11	PTPRC	2744	2.6867533620134054E-7	-0.0545334	Yes	
row_12	MMP8	2808	4.4507714846986346E-8	-0.010579174	Yes	
row_13	CLU	2921	1.22679788550073E-9	0.01895056	Yes	
row_14	CD36	3062	6.476394507487493E-12	0.040237725	Yes	
row_15	PF4	3309	4.9542237437771106E-18	0.030320887	Yes	
