NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCG3	0	0.5062066912651062	0.006451613	Yes	
row_1	KNL1	12	0.3871833086013794	0.009526921	Yes	
row_2	CDK1	14	0.38188838958740234	0.015671598	Yes	
row_3	ESCO2	28	0.3614635467529297	0.018133031	Yes	
row_4	NFKBIA	30	0.35928618907928467	0.024277708	Yes	
row_5	PEX5L	32	0.3562583327293396	0.030422384	Yes	
row_6	EZH2	49	0.340073823928833	0.03196301	Yes	
row_7	CABP1	59	0.3326720595359802	0.03565219	Yes	
row_8	KIF20B	66	0.33041831851005554	0.04026218	Yes	
row_9	CCT3	67	0.3283192813396454	0.046713796	Yes	
row_10	CCT8	73	0.3266945481300354	0.051630724	Yes	
row_11	PRKCZ	105	0.31553056836128235	0.0485673	Yes	
row_12	HSP90AB1	107	0.31520652770996094	0.054711975	Yes	
row_13	TOMM40	117	0.3108445405960083	0.058401156	Yes	
row_14	TNFAIP3	155	0.30044835805892944	0.053496107	Yes	
row_15	IPO5	161	0.29932326078414917	0.058413036	Yes	
row_16	HRAS	187	0.2946508526802063	0.05719123	Yes	
row_17	AURKB	205	0.2921940088272095	0.05842492	Yes	
row_18	CTCF	212	0.2907560467720032	0.06303491	Yes	
row_19	HSPA5	220	0.2880741059780121	0.06733797	Yes	
row_20	RPL18	231	0.2869608402252197	0.07072021	Yes	
row_21	YBX1	245	0.28401291370391846	0.073181644	Yes	
row_22	CCT5	265	0.28104519844055176	0.07380146	Yes	
row_23	PINX1	277	0.2797684967517853	0.07687677	Yes	
row_24	DKC1	286	0.2781391143798828	0.080872886	Yes	
row_25	SNAP25	292	0.2774108350276947	0.085789815	Yes	
row_26	TIMM9	298	0.27661940455436707	0.09070674	Yes	
row_27	KPNA2	301	0.2766048312187195	0.09654448	Yes	
row_28	TTK	310	0.2752940058708191	0.1005406	Yes	
row_29	MCPH1	333	0.272129625082016	0.100239605	Yes	
row_30	NRP1	352	0.2697104513645172	0.10116636	Yes	
row_31	CDT1	378	0.2666721045970917	0.099944554	Yes	
row_32	CSNK2A2	386	0.26545581221580505	0.10424761	Yes	
row_33	NDC80	395	0.26420822739601135	0.108243726	Yes	
row_34	TFDP2	421	0.26141637563705444	0.10702192	Yes	
row_35	SPAG5	450	0.2585203945636749	0.104879305	Yes	
row_36	GNL3	453	0.25769633054733276	0.11071704	Yes	
row_37	BUB3	470	0.25600165128707886	0.11225767	Yes	
row_38	CEP83	488	0.2541002333164215	0.11349136	Yes	
row_39	BARD1	499	0.25273585319519043	0.1168736	Yes	
row_40	RHOU	538	0.24894113838672638	0.11166161	Yes	
row_41	EMC10	540	0.2489091008901596	0.11780629	Yes	
row_42	SHISA6	542	0.24879448115825653	0.123950966	Yes	
row_43	VCP	544	0.24864909052848816	0.13009565	Yes	
row_44	SPDL1	559	0.24754181504249573	0.13225015	Yes	
row_45	HK2	581	0.24599306285381317	0.13225608	Yes	
row_46	CDH1	582	0.24582092463970184	0.1387077	Yes	
row_47	RPL5	590	0.24525506794452667	0.14301075	Yes	
row_48	MSN	598	0.24483166635036469	0.1473138	Yes	
row_49	BRCA2	613	0.2437293827533722	0.1494683	Yes	
row_50	ANGPT1	617	0.24297288060188293	0.1549991	Yes	
row_51	NUP93	625	0.24166254699230194	0.15930216	Yes	
row_52	EZR	626	0.24163776636123657	0.16575378	Yes	
row_53	CALM3	650	0.23937758803367615	0.16514584	Yes	
row_54	CENPQ	652	0.2391260415315628	0.17129052	Yes	
row_55	CCT2	668	0.23775725066661835	0.17313808	Yes	
row_56	SORL1	675	0.23681743443012238	0.17774807	Yes	
row_57	SGF29	698	0.23454104363918304	0.17744708	Yes	
row_58	ECH1	699	0.23435720801353455	0.18389869	Yes	
row_59	RPS3	702	0.23400427401065826	0.18973643	Yes	
row_60	ARL3	712	0.23289251327514648	0.19342561	Yes	
row_61	PECR	718	0.23221959173679352	0.19834253	Yes	
row_62	BNIP3L	728	0.23136268556118011	0.20203172	Yes	
row_63	WWTR1	747	0.22907523810863495	0.20295846	Yes	
row_64	RTN4	761	0.2279723584651947	0.20541991	Yes	
row_65	FAM83D	768	0.22749780118465424	0.2100299	Yes	
row_66	RYR2	775	0.22670197486877441	0.21463989	Yes	
row_67	NEDD4	781	0.22639767825603485	0.21955682	Yes	
row_68	VPS36	788	0.2255043238401413	0.22416681	Yes	
row_69	EHD1	830	0.22232487797737122	0.21803401	Yes	
row_70	RPS17	851	0.22061660885810852	0.2183469	Yes	
row_71	CNTLN	852	0.2205347716808319	0.2247985	Yes	
row_72	SH3GLB1	853	0.22032871842384338	0.23125012	Yes	
row_73	RPL29	876	0.21872657537460327	0.23094912	Yes	
row_74	INSIG1	918	0.21488934755325317	0.22481632	Yes	
row_75	PARK7	921	0.21481627225875854	0.23065408	Yes	
row_76	TOMM20	947	0.2133655995130539	0.22943226	Yes	
row_77	INSIG2	970	0.21159332990646362	0.22913127	Yes	
row_78	ARL2	980	0.21104419231414795	0.23282045	Yes	
row_79	SNF8	996	0.20900915563106537	0.23466802	Yes	
row_80	FAM53A	1004	0.20824837684631348	0.23897107	Yes	
row_81	NXT1	1011	0.20770537853240967	0.24358106	Yes	
row_82	ROCK2	1016	0.2074337601661682	0.24880493	Yes	
row_83	RUVBL2	1029	0.20585793256759644	0.2515733	Yes	
row_84	RPL31	1062	0.20407749712467194	0.24820293	Yes	
row_85	CENPT	1064	0.20393213629722595	0.2543476	Yes	
row_86	CDCA5	1077	0.20314288139343262	0.257116	Yes	
row_87	OPTN	1081	0.2026013880968094	0.2626468	Yes	
row_88	CTNNA1	1082	0.20231427252292633	0.2690984	Yes	
row_89	ZFAND6	1087	0.20197880268096924	0.27432227	Yes	
row_90	TGFB1	1089	0.20182788372039795	0.28046694	Yes	
row_91	AURKA	1097	0.20135822892189026	0.28476998	Yes	
row_92	MLYCD	1135	0.1986924260854721	0.27986494	Yes	
row_93	RPL27	1138	0.19851399958133698	0.28570268	Yes	
row_94	RPL41	1141	0.19828709959983826	0.2915404	Yes	
row_95	NDUFA13	1144	0.19798927009105682	0.29737815	Yes	
row_96	ZC3H12A	1162	0.19646580517292023	0.29861185	Yes	
row_97	PYGO1	1192	0.19418582320213318	0.2961623	Yes	
row_98	TIMM8B	1198	0.19381007552146912	0.3010792	Yes	
row_99	CHMP4B	1217	0.19251015782356262	0.30200598	Yes	
row_100	KDELR1	1252	0.18949764966964722	0.29802173	Yes	
row_101	FLNA	1275	0.18759256601333618	0.29772073	Yes	
row_102	ECI2	1276	0.18758878111839294	0.30417237	Yes	
row_103	SUMO3	1278	0.18745729327201843	0.31031704	Yes	
row_104	UBE2D3	1288	0.1866898387670517	0.3140062	Yes	
row_105	ROMO1	1301	0.18470516800880432	0.31677458	Yes	
row_106	RBM22	1319	0.18245483934879303	0.31800827	Yes	
row_107	AUP1	1334	0.1812426596879959	0.32016277	Yes	
row_108	GLMP	1338	0.18098759651184082	0.32569358	Yes	
row_109	CHCHD4	1386	0.17734408378601074	0.31771916	Yes	
row_110	UBL5	1409	0.17553256452083588	0.31741816	Yes	
row_111	BMP4	1410	0.1753753125667572	0.32386976	Yes	
row_112	UFM1	1414	0.17513194680213928	0.32940057	Yes	
row_113	RPA2	1424	0.17429529130458832	0.33308977	Yes	
row_114	PLRG1	1431	0.17357929050922394	0.33769974	Yes	
row_115	KDELR3	1440	0.1726367026567459	0.34169587	Yes	
row_116	BMP7	1543	0.1593482345342636	0.31683993	No	
row_117	NAGPA	1648	0.14593173563480377	0.29137012	No	
row_118	PPP1R15A	1650	0.1454286277294159	0.2975148	No	
row_119	ORMDL3	1658	0.1438613086938858	0.30181786	No	
row_120	PARP3	1684	0.1384463906288147	0.30059606	No	
row_121	ADAM22	1714	0.1325785517692566	0.2981465	No	
row_122	PLK1	1720	0.13122515380382538	0.30306342	No	
row_123	PTTG1IP	1780	0.11824322491884232	0.29140577	No	
row_124	FYN	1790	0.11484897136688232	0.29509494	No	
row_125	PPP1R13B	1803	0.11237926036119461	0.2978633	No	
row_126	CDKN1A	1809	0.11152564734220505	0.30278024	No	
row_127	DNM3	1820	0.10797768086194992	0.3061625	No	
row_128	RNF128	1829	0.10431556403636932	0.3101586	No	
row_129	MID2	1855	0.09566763788461685	0.3089368	No	
row_130	PHYH	1861	0.0950649082660675	0.31385374	No	
row_131	JUP	1917	0.07446067035198212	0.30342382	No	
row_132	GDAP1	1939	0.06672931462526321	0.30342975	No	
row_133	NUP62CL	2038	0.031770557165145874	0.27980158	No	
row_134	SYT11	2051	0.026426948606967926	0.28256994	No	
row_135	EMC9	2097	0.012892540544271469	0.2752094	No	
row_136	CACNG3	2341	2.581251901574433E-4	0.20707539	No	
row_137	CACNG5	2384	1.4056680083740503E-4	0.20063566	No	
row_138	GBP2	2392	1.3305814354680479E-4	0.20493871	No	
row_139	HTR2A	2441	6.930167728569359E-5	0.19665736	No	
row_140	SLC27A2	2549	1.4255214409786277E-5	0.17026673	No	
row_141	SYK	2576	8.246969628089573E-6	0.168738	No	
row_142	TUB	2638	2.7847072487929836E-6	0.15646645	No	
row_143	SEC16B	2675	1.530221879875171E-6	0.15186834	No	
row_144	CACNG4	2688	1.054241465681116E-6	0.15463673	No	
row_145	CACNG2	2766	1.2158507445292344E-7	0.1374542	No	
row_146	FERMT1	2770	1.177338972979669E-7	0.142985	No	
row_147	CLU	2921	1.22679788550073E-9	0.1033961	No	
row_148	UMOD	2965	2.839356805228732E-10	0.09664944	No	
row_149	GRXCR2	2989	1.4027995431931117E-10	0.0960415	No	
row_150	CD36	3062	6.476394507487493E-12	0.08039367	No	
row_151	CHGA	3229	8.2131655051962695E-16	0.03589378	No	
row_152	ZDHHC15	3236	6.921090859542719E-16	0.04050377	No	
row_153	RPS21	3358	3.735450307164656E-21	0.009816035	No	
row_154	RPL13A	3402	0.0	0.0030693663	No	
