NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HNRNPD	11	0.38726696372032166	0.01186499	Yes	
row_1	SRRM4	15	0.38174182176589966	0.02612018	Yes	
row_2	NCL	18	0.37732571363449097	0.040674146	Yes	
row_3	SYNCRIP	45	0.34141138195991516	0.04805751	Yes	
row_4	PSMD1	84	0.3225582242012024	0.051855575	Yes	
row_5	EXOSC8	158	0.30013376474380493	0.045196515	Yes	
row_6	SET	192	0.2935367524623871	0.050488453	Yes	
row_7	TBRG4	225	0.2874118685722351	0.056079168	Yes	
row_8	PSMA2	236	0.2862759530544281	0.06824293	Yes	
row_9	YBX1	245	0.28401291370391846	0.08100425	Yes	
row_10	YBX3	337	0.2713693082332611	0.06896724	Yes	
row_11	DDX5	424	0.26137539744377136	0.058424097	Yes	
row_12	HNRNPM	483	0.2548586130142212	0.05624666	Yes	
row_13	BARD1	499	0.25273585319519043	0.066916555	Yes	
row_14	PSMB5	501	0.25227493047714233	0.081769295	Yes	
row_15	PSMD14	525	0.2500828206539154	0.09004898	Yes	
row_16	EXOSC1	526	0.2500075101852417	0.1052005	Yes	
row_17	PSMD11	527	0.249762624502182	0.120352015	Yes	
row_18	RBMXL1	566	0.24702130258083344	0.124150075	Yes	
row_19	APEX1	572	0.24660269916057587	0.13780771	Yes	
row_20	NOCT	605	0.24434290826320648	0.14339843	Yes	
row_21	SRPK1	647	0.23959162831306458	0.14630017	Yes	
row_22	CCNB1	664	0.2379988580942154	0.15667129	Yes	
row_23	DIS3	691	0.23520010709762573	0.16405465	Yes	
row_24	PRDX6	693	0.2351486086845398	0.1789074	Yes	
row_25	RNPS1	716	0.2324952781200409	0.18748586	Yes	
row_26	ANP32A	727	0.23137052357196808	0.19964962	Yes	
row_27	PSMA5	742	0.22988566756248474	0.21061829	Yes	
row_28	RBM25	743	0.2298804372549057	0.2257698	Yes	
row_29	MBNL3	748	0.22904080152511597	0.23972622	Yes	
row_30	NUDT21	752	0.22875584661960602	0.2539814	Yes	
row_31	PSMC2	762	0.22790132462978363	0.26644394	Yes	
row_32	PSMB3	764	0.22787414491176605	0.2812967	Yes	
row_33	HNRNPK	789	0.22547966241836548	0.2892776	Yes	
row_34	RBM8A	868	0.2192361205816269	0.28112468	Yes	
row_35	PRKCA	870	0.21907147765159607	0.2959774	Yes	
row_36	PSMB4	873	0.21897247433662415	0.31053138	Yes	
row_37	PSMD4	911	0.21592850983142853	0.3146282	Yes	
row_38	PSME1	914	0.2156582772731781	0.32918218	Yes	
row_39	ROCK2	1016	0.2074337601661682	0.31415743	Yes	
row_40	PCBP4	1067	0.2037600725889206	0.3143702	Yes	
row_41	NOVA1	1103	0.2007952779531479	0.31906456	Yes	
row_42	ROCK1	1110	0.20042528212070465	0.33242345	Yes	
row_43	PSMC4	1137	0.1985262930393219	0.3398068	Yes	
row_44	ZC3H12A	1162	0.19646580517292023	0.3477877	Yes	
row_45	PSME3	1203	0.19359856843948364	0.35098824	Yes	
row_46	PSMB6	1228	0.19151939451694489	0.35896915	Yes	
row_47	PSMA4	1229	0.1914752870798111	0.37412065	Yes	
row_48	PSMD2	1263	0.18902002274990082	0.3794126	Yes	
row_49	PSMB10	1450	0.17187926173210144	0.33899197	Yes	
row_50	PSME2	1499	0.1648457944393158	0.33980227	Yes	
row_51	KHDRBS3	1538	0.16009433567523956	0.34360033	Yes	
row_52	CELF2	1576	0.15702307224273682	0.34769717	Yes	
row_53	FASTKD1	1577	0.15678687393665314	0.3628487	Yes	
row_54	CELF4	1608	0.15164212882518768	0.36903694	Yes	
row_55	NOVA2	1613	0.1512001007795334	0.38299337	Yes	
row_56	RBM24	1678	0.13961869478225708	0.37902328	No	
row_57	CELF3	1981	0.052510447800159454	0.30394474	No	
row_58	SLC11A1	2348	2.2287278261501342E-4	0.20974459	No	
row_59	AXIN2	2618	4.406712378113298E-6	0.14452562	No	
row_60	RBFOX3	2620	4.255390194884967E-6	0.15937836	No	
row_61	KHDRBS2	2648	2.567231376815471E-6	0.16646296	No	
row_62	TRIM71	2807	4.536953568390345E-8	0.13440801	No	
row_63	ZFP36L1	2836	1.9785938221161814E-8	0.14119382	No	
row_64	IGF2BP1	3279	5.536258628452085E-17	0.02428678	No	
row_65	RBFOX1	3332	4.602801540605515E-19	0.023901993	No	
