archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,subtype: YAP1,4.6997e-12,1,1
1,source: CCLE,0.031913,1,1
1,subtype: POU2F3,0.25938,1,0
1,sampleType: Cell_line,0.5882,1,0
1,source: tumor,0.60104,1,0
1,sampleType: tumor,0.60104,1,0
1,source: Minna,0.99052,1,0
1,subtype: ASCL1,0.99997,1,0
1,subtype: NEUROD1,1,1,0
2,subtype: POU2F3,7.7716e-16,1,1
2,source: tumor,0.4118,1,1
2,sampleType: tumor,0.4118,1,1
2,source: CCLE,0.58793,1,0
2,subtype: YAP1,0.72624,1,0
2,sampleType: Cell_line,0.75719,1,0
2,source: Minna,0.76213,1,0
2,subtype: ASCL1,1,1,0
2,subtype: NEUROD1,1,1,0
3,subtype: NEUROD1,1.1102e-16,1,1
3,sampleType: Cell_line,0.00028017,1,1
3,source: Minna,0.042587,1,1
3,source: CCLE,0.088033,1,1
3,source: tumor,0.99998,1,0
3,sampleType: tumor,0.99998,1,0
3,subtype: ASCL1,1,1,0
3,subtype: POU2F3,1,1,0
3,subtype: YAP1,1,1,0
4,subtype: ASCL1,0.00033874,1,1
4,source: Minna,0.22158,1,0
4,sampleType: Cell_line,0.22899,1,0
4,source: CCLE,0.58793,1,0
4,source: tumor,0.89225,1,0
4,sampleType: tumor,0.89225,1,0
4,subtype: NEUROD1,1,1,0
4,subtype: POU2F3,1,1,0
4,subtype: YAP1,1,1,0
5,source: tumor,0.004759,1,1
5,sampleType: tumor,0.004759,1,1
5,subtype: ASCL1,0.18608,1,0
5,subtype: POU2F3,0.55717,1,0
5,source: Minna,0.76213,1,0
5,subtype: NEUROD1,0.87693,1,0
5,sampleType: Cell_line,0.99896,1,0
5,subtype: YAP1,1,1,0
5,source: CCLE,1,1,0
6,source: tumor,0.050386,1,1
6,sampleType: tumor,0.050386,1,1
6,subtype: NEUROD1,0.085013,1,1
6,subtype: ASCL1,0.5567,1,0
6,source: CCLE,0.7849,1,0
6,source: Minna,0.96191,1,0
6,sampleType: Cell_line,0.98278,1,0
6,subtype: POU2F3,1,1,0
6,subtype: YAP1,1,1,0
