archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
2,subtype: A2,0.00035484,1,0.74991
2,10 08 2020: A2,0.00067605,1,0.74107
2,NEW 10 2020: A2,0.00091141,1,0.72921
3,subtype: P,5.6866e-13,1,0.99991
3,NEW 10 2020: P,5.6866e-13,1,0.99991
3,10 08 2020: P,5.6866e-13,1,0.99991
4,NEW 10 2020: Y,2.1039e-11,1,0.99952
4,10 08 2020: Y,2.1039e-11,1,0.99952
4,subtype: Y,1.0239e-07,1,0.98788
5,10 08 2020: A2,1.6489e-09,1,0.95214
5,NEW 10 2020: A2,2.8855e-09,1,0.9521
5,subtype: A2,4.0658e-08,1,0.91958
6,10 08 2020: N,1.7264e-13,1,0.99998
6,NEW 10 2020: N,4.9325e-10,1,0.95196
6,subtype: N,2.1689e-08,1,0.98457
