archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,2.1039e-11,1,0.99952
1,10 08 2020: Y,2.1039e-11,1,0.99952
1,subtype: Y,1.0239e-07,1,0.98788
1,source: CCLE,0.0026125,1,0.77477
1,subtype: uncl,0.049376,1,0.19683
1,10 08 2020: uncl,0.19076,1,0.055652
1,subtype: P,0.66638,1,0.00056608
1,NEW 10 2020: P,0.66638,1,0.00056608
1,10 08 2020: P,0.66638,1,0.00056608
1,subtype: N,0.87186,1,9.0848e-06
1,subtype: A2,0.94816,1,1.6832e-07
1,NEW 10 2020: N,0.94816,1,1.2978e-07
1,10 08 2020: A2,0.96049,1,4.5483e-08
1,NEW 10 2020: A2,0.96559,1,2.9923e-08
1,source: Minna,0.99974,1,8.5899e-19
1,subtype: A,1,1,7.0558e-27
1,NEW 10 2020: A,1,1,1.0697e-22
1,10 08 2020: A,1,1,5.7392e-27
1,10 08 2020: N,1,1,7.7976e-09
2,subtype: P,5.6866e-13,1,0.99991
2,NEW 10 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: uncl,0.19076,1,0.055652
2,source: CCLE,0.61552,1,0.00066559
2,source: Minna,0.6254,1,0.00046507
2,subtype: N,0.87186,1,1.8933e-05
2,subtype: A2,0.94816,1,2.9261e-07
2,NEW 10 2020: N,0.94816,1,3.8085e-07
2,10 08 2020: A2,0.96049,1,7.9098e-08
2,NEW 10 2020: A2,0.96559,1,4.6909e-08
2,subtype: A,1,1,3.9686e-25
2,subtype: Y,1,1,5.0181e-06
2,subtype: uncl,1,1,0.00010368
2,NEW 10 2020: A,1,1,1.215e-21
2,NEW 10 2020: Y,1,1,2.4087e-06
2,10 08 2020: A,1,1,2.5566e-25
2,10 08 2020: N,1,1,9.5039e-09
2,10 08 2020: Y,1,1,2.4087e-06
3,10 08 2020: N,1.7264e-13,1,0.99977
3,NEW 10 2020: N,4.9325e-10,1,0.95196
3,subtype: N,2.1689e-08,1,0.97686
3,subtype: uncl,0.049376,1,0.21889
3,source: Minna,0.38448,1,0.0029606
3,source: CCLE,0.82173,1,2.6718e-06
3,subtype: A,1,1,3.5904e-27
3,subtype: A2,1,1,5.2727e-13
3,subtype: P,1,1,9.0578e-07
3,subtype: Y,1,1,4.3402e-06
3,NEW 10 2020: A,1,1,5.628e-24
3,NEW 10 2020: A2,1,1,2.2826e-14
3,NEW 10 2020: P,1,1,9.0578e-07
3,NEW 10 2020: Y,1,1,1.8595e-06
3,10 08 2020: A,1,1,3.7516e-28
3,10 08 2020: A2,1,1,5.9917e-14
3,10 08 2020: P,1,1,9.0578e-07
3,10 08 2020: Y,1,1,1.8595e-06
3,10 08 2020: uncl,1,1,0.00045
4,10 08 2020: A2,1.6489e-09,1,0.98033
4,NEW 10 2020: A2,2.8855e-09,1,0.98016
4,subtype: A2,4.0658e-08,1,0.96251
4,source: CCLE,0.17698,1,0.0747
4,source: Minna,0.93769,1,1.0067e-07
4,subtype: A,0.99962,1,9.8431e-21
4,subtype: N,1,1,2.9366e-10
4,subtype: P,1,1,5.1652e-07
4,subtype: Y,1,1,1.5446e-06
4,subtype: uncl,1,1,9.9e-05
4,NEW 10 2020: A,1,1,2.144e-24
4,NEW 10 2020: N,1,1,2.8535e-13
4,NEW 10 2020: P,1,1,5.1652e-07
4,NEW 10 2020: Y,1,1,4.2906e-07
4,10 08 2020: A,1,1,4.2145e-28
4,10 08 2020: N,1,1,2.3651e-09
4,10 08 2020: P,1,1,5.1652e-07
4,10 08 2020: Y,1,1,4.2906e-07
4,10 08 2020: uncl,1,1,0.00045
5,subtype: A2,2.8247e-05,1,0.78308
5,10 08 2020: A2,6.1227e-05,1,0.76965
5,NEW 10 2020: A2,8.7671e-05,1,0.76817
5,source: Minna,0.38448,1,0.0055008
5,source: CCLE,0.82173,1,3.8754e-06
5,NEW 10 2020: A,0.92741,1,2.8153e-09
5,subtype: A,0.96973,1,4.3252e-12
5,10 08 2020: A,0.97361,1,2.0639e-11
5,subtype: N,1,1,8.2198e-10
5,subtype: P,1,1,8.5226e-07
5,subtype: Y,1,1,2.3478e-06
5,subtype: uncl,1,1,9.9e-05
5,NEW 10 2020: N,1,1,1.4183e-12
5,NEW 10 2020: P,1,1,8.5226e-07
5,NEW 10 2020: Y,1,1,1.0761e-06
5,10 08 2020: N,1,1,4.2806e-09
5,10 08 2020: P,1,1,8.5226e-07
5,10 08 2020: Y,1,1,1.0761e-06
5,10 08 2020: uncl,1,1,0.00042969
6,NEW 10 2020: A,6.6081e-06,1,0.66261
6,subtype: A,4.1614e-05,1,0.23737
6,10 08 2020: A,5.2963e-05,1,0.22187
6,source: Minna,0.17827,1,0.049896
6,source: CCLE,0.94263,1,5.129e-09
6,subtype: A2,1,1,1.7131e-12
6,subtype: N,1,1,1.3243e-09
6,subtype: P,1,1,6.4164e-07
6,subtype: Y,1,1,2.3478e-06
6,subtype: uncl,1,1,9.9e-05
6,NEW 10 2020: A2,1,1,1.2815e-13
6,NEW 10 2020: N,1,1,3.0766e-12
6,NEW 10 2020: P,1,1,6.4164e-07
6,NEW 10 2020: Y,1,1,7.4142e-07
6,10 08 2020: A2,1,1,2.6698e-13
6,10 08 2020: N,1,1,6.1886e-09
6,10 08 2020: P,1,1,6.4164e-07
6,10 08 2020: Y,1,1,7.4142e-07
6,10 08 2020: uncl,1,1,0.00045
