Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
REST 21632747 ChIP-Seq MESCs Mouse	21/2339	3.508524413879765E-10	1.8384667928729967E-7	0	0	8.412015803097043	183.13509706466803	CHGA;PCSK1;SYT4;BEX2;WSCD1;HOMER2;STMN3;CRMP1;CPLX2;TMEM163;RUNDC3A;PEX5L;TCERG1L;EEF1A2;ID4;SCG3;INSM1;NEFH;INA;CHGB;LRP11
SUZ12 20075857 ChIP-Seq MESCs Mouse	25/4356	3.264793544965071E-8	8.553759087808486E-6	0	0	6.01439236511968	103.67299346261609	SLC35D3;STMN3;CRMP1;ASCL1;ESPN;CPLX2;TMEM163;EPCAM;NEFH;CHGB;CHGA;WSCD1;HOMER2;KRT8;KRT7;MAPK13;PKIB;CLDN3;TCERG1L;CLDN7;EEF1A2;ID4;INSM1;TOX;INA
SUZ12 18692474 ChIP-Seq MEFs Mouse	13/1135	1.690405021584213E-7	2.9525741043670918E-5	0	0	8.083911005479633	126.05345495046552	CHGA;PCSK1;HOMER2;CRMP1;ASCL1;CPLX2;PKIB;NNAT;EEF1A2;ID4;SCG3;INSM1;CHGB
SUZ12 18692474 ChIP-Seq MESCs Mouse	16/1909	3.0223458075349416E-7	3.959273007870774E-5	0	0	6.362739918999824	95.51784846758083	CHGA;PCSK1;HOMER2;SLC35D3;CRMP1;ASCL1;CPLX2;PKIB;NNAT;EEF1A2;ID4;SCG3;INSM1;TOX;NEFH;CHGB
SUZ12 27294783 Chip-Seq ESCs Mouse	15/2000	3.3722264011516295E-6	3.5340932684069075E-4	0	0	5.433249370277078	68.45860182767059	WSCD1;CRMP1;ASCL1;ESPN;CPLX2;TMEM163;TCERG1L;EPCAM;CLDN7;EEF1A2;ID4;INSM1;TOX;NEFH;INA
RCOR3 21632747 ChIP-Seq MESCs Mouse	17/2851	1.3168438627446501E-5	0.0011500436401303278	0	0	4.466601208922708	50.19426903966858	CHGA;STMN3;CRMP1;CPLX2;TMEM163;RUNDC3A;PEX5L;CLDN3;TCERG1L;NNAT;EEF1A2;SCG3;INSM1;NEFH;INA;CHGB;LRP11
RING1B 27294783 Chip-Seq ESCs Mouse	13/2000	8.661471837738755E-5	0.006483730347107297	0	0	4.355141754739138	40.738173657815445	SLC35D3;KRT8;ASCL1;ESPN;TMEM163;CLDN3;TCERG1L;EPCAM;CLDN7;ID4;INSM1;NEFH;INA
MTF2 20144788 ChIP-Seq MESCs Mouse	16/2981	1.001178965490902E-4	0.006557722223965408	0	0	3.821247892074199	35.19049126590763	WSCD1;HOMER2;SLC35D3;KRT8;CRMP1;ASCL1;ESPN;TMEM163;PKIB;CLDN3;TCERG1L;ID4;INSM1;TOX;NEFH;INA
SUZ12 18974828 ChIP-Seq MESCs Mouse	12/1934	2.7425289975786636E-4	0.015234737781228327	0	0	4.022149546603241	32.98749815976427	PCSK1;PKIB;CLDN3;HOMER2;SLC35D3;ID4;INSM1;ASCL1;CPLX2;TOX;TMEM163;INA
JARID2 20064375 ChIP-Seq MESCs Mouse	9/1117	2.9073927063412837E-4	0.015234737781228327	0	0	4.939676254803773	40.22419704371503	PKIB;WSCD1;HOMER2;SLC35D3;INSM1;ASCL1;ESPN;TMEM163;NEFH
RING1B 27294783 Chip-Seq NPCs Mouse	12/2000	3.7462522447913684E-4	0.017845783420642518	0	0	3.874389192296637	30.567320659381785	WSCD1;SLC35D3;EEF1A2;ID4;INSM1;ASCL1;ESPN;TOX;TMEM163;NEFH;RUNDC3A;INA
