NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRMT1	37	0.4343720078468323	0.003260267	No	
row_1	CDC20	40	0.42863720655441284	0.0083377715	No	
row_2	DDX39B	102	0.3453162908554077	0.010351933	No	
row_3	RPL26	136	0.2977171838283539	0.0138198845	No	
row_4	PSMG2	216	0.24075399339199066	0.014899466	No	
row_5	NOP53	420	0.15471574664115906	0.0095408335	No	
row_6	BABAM1	522	0.13537707924842834	0.009478152	No	
row_7	BABAM2	622	0.11516066640615463	0.009519312	No	
row_8	PCBP4	634	0.11289288848638535	0.014129527	No	
row_9	RGCC	660	0.10815524309873581	0.018012846	No	
row_10	FBXO6	667	0.10754033923149109	0.022882666	No	
row_11	CDK5RAP3	671	0.10717877000570297	0.02790825	No	
row_12	MAD2L2	731	0.09673984348773956	0.030026253	No	
row_13	LCMT1	942	0.06905511766672134	0.024304174	No	
row_14	CDC25C	1470	0.03184250369668007	0.0021231119	No	
row_15	NABP2	1497	0.03079349361360073	0.0059545105	No	
row_16	BAX	1551	0.029088890179991722	0.008384041	No	
row_17	FBXO31	1584	0.028038211166858673	0.011903913	No	
row_18	MUS81	1748	0.023409204557538033	0.008622124	No	
row_19	KLHL22	1992	0.018489837646484375	0.0011866482	No	
row_20	MRNIP	2986	0.006574043072760105	-0.045189638	No	
row_21	RAD9B	3664	0.0018320849630981684	-0.075158864	No	
row_22	FBXO4	4555	-0.003307567909359932	-0.116187274	No	
row_23	NEK11	5994	-0.01009694579988718	-0.18566844	No	
row_24	CNOT8	6562	-0.012429006397724152	-0.20992635	No	
row_25	BRCC3	6679	-0.012953289784491062	-0.21076785	No	
row_26	USP44	6746	-0.013354026712477207	-0.2090133	No	
row_27	CRADD	6866	-0.013953695073723793	-0.21001056	No	
row_28	TIMELESS	7119	-0.015164408832788467	-0.21791331	No	
row_29	CHMP4C	7607	-0.017207011580467224	-0.23801754	No	
row_30	CCNB1	7856	-0.01836264133453369	-0.24571262	No	
