NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNB2	12	0.5233659744262695	0.0017056995	No	
row_1	LMNA	61	0.38154685497283936	0.0015191521	No	
row_2	GSN	99	0.34779801964759827	0.0019107912	No	
row_3	VPS28	157	0.277667760848999	0.0012511819	No	
row_4	CHMP2A	239	0.2307095229625702	-6.6992524E-4	No	
row_5	FLOT1	271	0.208044171333313	3.7088386E-5	No	
row_6	MVB12A	432	0.15224391222000122	-0.0060364497	No	
row_7	SOD1	563	0.12699788808822632	-0.010533115	No	
row_8	EMC4	591	0.12125929445028305	-0.0096158525	No	
row_9	HIKESHI	711	0.1015613004565239	-0.013534331	No	
row_10	SYNGR1	735	0.09643379598855972	-0.012406819	No	
row_11	MAP2K2	746	0.0954698696732521	-0.010595994	No	
row_12	ANXA6	750	0.09471359848976135	-0.008417233	No	
row_13	BANF1	752	0.09463156759738922	-0.0061333464	No	
row_14	RAB3A	792	0.08859545737504959	-0.005846832	No	
row_15	TLE6	843	0.08162155747413635	-0.0061385045	No	
row_16	PLSCR3	945	0.06894441694021225	-0.00911086	No	
row_17	BLOC1S1	1106	0.05415578559041023	-0.015184398	No	
row_18	TGFB2	1118	0.05350080505013466	-0.013426136	No	
row_19	EMC10	1129	0.05215984955430031	-0.011615312	No	
row_20	LMAN1	1167	0.049171898514032364	-0.011223673	No	
row_21	FAM174B	1179	0.048446498811244965	-0.00946541	No	
row_22	PACSIN3	1226	0.04447212442755699	-0.009546833	No	
row_23	PLEKHJ1	1231	0.04429377615451813	-0.0074206344	No	
row_24	LMAN2	1266	0.042139045894145966	-0.006871308	No	
row_25	AQP11	1373	0.03653501719236374	-0.010106476	No	
row_26	SPAG4	1374	0.036457404494285583	-0.007770027	No	
row_27	UBL4A	1424	0.034258488565683365	-0.008009137	No	
row_28	REEP5	1456	0.0326225720345974	-0.0073021236	No	
row_29	ARL1	1481	0.03138221427798271	-0.006227173	No	
row_30	EMC6	1571	0.028508134186267853	-0.00856878	No	
row_31	ZPBP2	1825	0.02129100263118744	-0.019530622	No	
row_32	TMED10	1956	0.019020624458789825	-0.024027288	No	
row_33	VPS36	2009	0.018154453486204147	-0.024424085	No	
row_34	VPS37D	2027	0.017893411219120026	-0.022981197	No	
row_35	VPS51	2348	0.01335049793124199	-0.037464723	No	
row_36	SYPL2	2435	0.011960419826209545	-0.03964864	No	
row_37	TMED1	2504	0.01125344354659319	-0.040886436	No	
row_38	BAIAP3	2609	0.010069872252643108	-0.04401648	No	
row_39	HOOK2	2672	0.00949861016124487	-0.0449389	No	
row_40	ZPBP	2723	0.00894217099994421	-0.045230575	No	
row_41	SPINK2	3078	0.005856066942214966	-0.06150122	No	
row_42	STK25	3292	0.004229495767503977	-0.07036056	No	
row_43	TMEM9	3309	0.004099848214536905	-0.06886512	No	
row_44	DYSF	3377	0.0036549780052155256	-0.07005035	No	
row_45	AKTIP	3404	0.0034278829116374254	-0.069080524	No	
row_46	EMC2	3547	0.002577034058049321	-0.07420794	No	
row_47	SLC4A1	3631	0.0020193879026919603	-0.07623417	No	
row_48	SPACA1	3788	0.0010225899750366807	-0.08209746	No	
row_49	EMC9	3902	2.917989913839847E-4	-0.085700564	No	
row_50	SYTL4	3919	2.0278200099710375E-4	-0.08420511	No	
row_51	ACRBP	3947	-2.4200000552809797E-5	-0.08328785	No	
row_52	BNIP1	4051	-6.315279752016068E-4	-0.086365335	No	
row_53	CXCR4	4056	-6.525259814225137E-4	-0.08423913	No	
row_54	F2RL3	4124	-9.586120140738785E-4	-0.08542436	No	
row_55	MAPK15	4443	-0.0027073121163994074	-0.09980276	No	
row_56	SEC31B	4623	-0.00366115290671587	-0.10687499	No	
row_57	SH3TC2	4688	-0.00401491392403841	-0.107902534	No	
row_58	FER1L5	5116	-0.006054273806512356	-0.12801024	No	
row_59	GORASP1	5689	-0.008867288939654827	-0.15573949	No	
row_60	SMPD1	5855	-0.009553728625178337	-0.16207585	No	
row_61	P2RX7	5919	-0.009770598262548447	-0.16305083	No	
row_62	CAV3	5932	-0.009844017215073109	-0.16134512	No	
row_63	TRIM72	5966	-0.009968613274395466	-0.16074324	No	
row_64	CSRP3	6034	-0.010289519093930721	-0.16192847	No	
row_65	MAPK3	6087	-0.010523883625864983	-0.16232526	No	
row_66	DTNBP1	6144	-0.010707308538258076	-0.16293232	No	
row_67	MICALL1	6317	-0.01141624990850687	-0.1696366	No	
row_68	BAIAP2L2	6382	-0.011671897955238819	-0.17066415	No	
row_69	FA2H	6395	-0.01171389501541853	-0.16895846	No	
row_70	TMED7	6416	-0.011814012192189693	-0.16767325	No	
row_71	SEC16B	6563	-0.012431728653609753	-0.17301092	No	
row_72	TMEM38B	6776	-0.013493340462446213	-0.1818177	No	
row_73	TMED6	6975	-0.014473753049969673	-0.18988861	No	
row_74	CRB1	7036	-0.014821994118392467	-0.19070591	No	
row_75	LMAN2L	7066	-0.014934832230210304	-0.18989377	No	
row_76	EHD3	7452	-0.016550401225686073	-0.20779385	No	
row_77	LMAN1L	7602	-0.01718427613377571	-0.2132892	No	
row_78	CHMP4C	7607	-0.017207011580467224	-0.211163	No	
row_79	BIN2	7627	-0.017273370176553726	-0.20982523	No	
row_80	XKR8	7666	-0.017447300255298615	-0.20948616	No	
row_81	SRGN	7703	-0.01762150041759014	-0.20904195	No	
row_82	XKR9	7835	-0.018255237489938736	-0.21359119	No	
row_83	CCNB1	7856	-0.01836264133453369	-0.212306	No	
row_84	LPCAT3	7975	-0.01900256797671318	-0.2161719	No	
row_85	TMED3	8051	-0.019347509369254112	-0.21777764	No	
row_86	RAB29	8063	-0.019404690712690353	-0.21601938	No	
row_87	JAGN1	8133	-0.019768422469496727	-0.21730973	No	
row_88	CASQ1	8137	-0.0197727233171463	-0.21513097	No	
row_89	TICAM2	8168	-0.019930753856897354	-0.2143714	No	
row_90	SPTSSB	8227	-0.02025448903441429	-0.21508357	No	
row_91	ATP8B3	8261	-0.02042992226779461	-0.21448168	No	
row_92	TRPC5	8339	-0.020783964544534683	-0.21619253	No	
row_93	RILP	8345	-0.020803313702344894	-0.2141189	No	
row_94	SUN3	8417	-0.021230340003967285	-0.21551438	No	
row_95	S100A9	8479	-0.02156142145395279	-0.21638425	No	
row_96	VPS25	8496	-0.02163170464336872	-0.2148888	No	
row_97	VAMP4	8700	-0.022838424891233444	-0.22322251	No	
row_98	FER1L4	8710	-0.022902147844433784	-0.22135912	No	
row_99	ABCD2	8712	-0.022909188643097878	-0.21907523	No	
row_100	SPTBN5	8727	-0.023010259494185448	-0.21747467	No	
row_101	MYRF	8812	-0.023558197543025017	-0.21955346	No	
row_102	CLN3	8832	-0.023725289851427078	-0.2182157	No	
row_103	BCAS3	8842	-0.02380957081913948	-0.21635231	No	
row_104	KIFC3	8852	-0.023886868730187416	-0.21448892	No	
row_105	A4GALT	8923	-0.024324068799614906	-0.21583185	No	
row_106	NSFL1C	9096	-0.025534113869071007	-0.22253613	No	
row_107	RAB43	9174	-0.025987770408391953	-0.224247	No	
row_108	PLSCR2	9238	-0.026445426046848297	-0.22522198	No	
row_109	ATP8B4	9280	-0.026727667078375816	-0.22504058	No	
row_110	CDC42	9343	-0.027188297361135483	-0.22596301	No	
row_111	FER1L6	9404	-0.027618613094091415	-0.2267803	No	
row_112	DYM	9542	-0.028596285730600357	-0.2316449	No	
row_113	PLSCR4	9556	-0.028692778199911118	-0.22999176	No	
row_114	COG1	9579	-0.028850672766566277	-0.2288117	No	
row_115	PRKN	9622	-0.02921668440103531	-0.22868286	No	
row_116	COG7	9702	-0.029674334451556206	-0.23049885	No	
row_117	BAIAP2	9783	-0.03040926158428192	-0.2323674	No	
row_118	BLOC1S3	9928	-0.031504131853580475	-0.23759992	No	
row_119	VTA1	9961	-0.03178102895617485	-0.23694548	No	
row_120	PTPRC	9992	-0.032014619559049606	-0.23618591	No	
row_121	TRAPPC12	10039	-0.03231402114033699	-0.23626733	No	
row_122	XKR5	10046	-0.03235527127981186	-0.23424625	No	
row_123	PRKCB	10058	-0.03245270624756813	-0.23248799	No	
row_124	TSG101	10069	-0.03257879614830017	-0.23067717	No	
row_125	NOX1	10100	-0.03283456712961197	-0.22991759	No	
row_126	CAVIN2	10149	-0.033260930329561234	-0.23010413	No	
row_127	PLEKHF1	10216	-0.03390199691057205	-0.2312368	No	
row_128	SLC9A3R1	10231	-0.0340597927570343	-0.22963624	No	
row_129	PHETA1	10279	-0.0344921238720417	-0.22977021	No	
row_130	STX6	10301	-0.03470839187502861	-0.22853757	No	
row_131	VRK1	10528	-0.03667302802205086	-0.23808023	No	
row_132	EMC1	10532	-0.03674556314945221	-0.23590147	No	
row_133	AR	10564	-0.03695448487997055	-0.23519446	No	
row_134	SH3GL2	10570	-0.03706207871437073	-0.23312083	No	
row_135	ANO4	10571	-0.03706708550453186	-0.23078437	No	
row_136	XKR7	10624	-0.03755968436598778	-0.23118117	No	
row_137	SGTA	10703	-0.03827998787164688	-0.2329446	No	
row_138	BIN1	10732	-0.03858470916748047	-0.2320799	No	
row_139	FAT4	10758	-0.038829781115055084	-0.23105751	No	
row_140	CHMP2B	10772	-0.0389268584549427	-0.22940437	No	
row_141	LAPTM4B	10800	-0.03924579918384552	-0.2284871	No	
row_142	TANGO2	10817	-0.039387140423059464	-0.22699165	No	
row_143	AKT2	10901	-0.040108323097229004	-0.22901788	No	
row_144	TOR1A	11137	-0.042298395186662674	-0.23903361	No	
row_145	PLA2G3	11258	-0.04341965913772583	-0.24300465	No	
row_146	SNF8	11273	-0.04361196234822273	-0.24140407	No	
row_147	PRX	11333	-0.04428614675998688	-0.24216881	No	
row_148	DMKN	11344	-0.0443769246339798	-0.24035798	No	
row_149	BIN3	11414	-0.045233748853206635	-0.24164835	No	
row_150	BHLHA15	11475	-0.0458282008767128	-0.24246565	No	
row_151	PARP11	11562	-0.04693907871842384	-0.24464956	No	
row_152	SUN2	11625	-0.04759148880839348	-0.24557199	No	
row_153	ATP8B1	11667	-0.04809128865599632	-0.2453906	No	
row_154	REEP4	11670	-0.048158444464206696	-0.24315926	No	
row_155	SCARB2	11673	-0.04818221926689148	-0.24092795	No	
row_156	ABCA7	11722	-0.04876793548464775	-0.24111448	No	
