NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RUVBL1	222	0.2372387945652008	-0.006975851	No	
row_1	CAMK1	277	0.20496661961078644	-0.0052171694	No	
row_2	PARK7	287	0.2016473263502121	-0.0011188808	No	
row_3	RUVBL2	293	0.197526752948761	0.0031873726	No	
row_4	PIH1D1	414	0.15575966238975525	0.0015146307	No	
row_5	KAT8	559	0.12750980257987976	-0.0014059015	No	
row_6	NAA10	629	0.11380890756845474	-4.2708887E-4	No	
row_7	TAF10	641	0.11185121536254883	0.0035672172	No	
row_8	KLF15	862	0.07937625795602798	-0.0033046512	No	
row_9	NAT9	879	0.07679244130849838	4.2969832E-4	No	
row_10	SMARCB1	951	0.06843912601470947	0.0013045284	No	
row_11	DMAP1	1004	0.06398700922727585	0.0031671925	No	
row_12	BLOC1S1	1106	0.05415578559041023	0.0024822846	No	
row_13	HINT2	1154	0.05040792003273964	0.004604905	No	
row_14	TAF6L	1244	0.04353756830096245	0.0045438926	No	
row_15	MCRS1	1351	0.03778114169836044	0.003599028	No	
row_16	APBB1	1401	0.03512220084667206	0.005617666	No	
row_17	ATAT1	1672	0.025720352306962013	-0.0038537655	No	
row_18	ZDHHC2	1772	0.0227003525942564	-0.004434691	No	
row_19	TADA2A	1783	0.02244088426232338	-3.8839367E-4	No	
row_20	MBOAT4	1877	0.020398229360580444	-6.573714E-4	No	
row_21	HHAT	2285	0.014104985632002354	-0.017251607	No	
row_22	SPHK1	2405	0.012495172210037708	-0.018872356	No	
row_23	ACTL6A	2416	0.01224751677364111	-0.014826059	No	
row_24	HDAC2	3148	0.005320601165294647	-0.048265465	No	
row_25	DIP2A	3271	0.004354844801127911	-0.05004219	No	
row_26	TADA3	3927	1.3042900536675006E-4	-0.079530254	No	
row_27	FOXP3	4079	-7.738550193607807E-4	-0.08281473	No	
row_28	MAP6D1	4825	-0.0048138732090592384	-0.11698201	No	
row_29	IRF4	5154	-0.006218507885932922	-0.12946893	No	
row_30	HAT1	5221	-0.006584690883755684	-0.12833415	No	
row_31	TAF9	6041	-0.01030625682324171	-0.16634879	No	
row_32	MAPK3	6087	-0.010523883625864983	-0.16412218	No	
row_33	MAPT	6644	-0.012833017855882645	-0.18846312	No	
row_34	AANAT	6723	-0.013233901932835579	-0.18795222	No	
row_35	ZDHHC12	6832	-0.013731964863836765	-0.18900107	No	
