NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL8	3	0.6215332746505737	0.007307399	Yes	
row_1	RPL15	11	0.5286825895309448	0.014407747	Yes	
row_2	RPL11	15	0.5014337301254272	0.021715147	Yes	
row_3	RPL7A	16	0.49702855944633484	0.029177833	Yes	
row_4	RPL18	18	0.49586421251296997	0.03658876	Yes	
row_5	RPS9	19	0.4956377148628235	0.044051442	Yes	
row_6	RPL13	20	0.49439340829849243	0.05151413	Yes	
row_7	RPS2	23	0.4740262031555176	0.058873292	Yes	
row_8	RPL27A	29	0.46032553911209106	0.066077165	Yes	
row_9	RPL10	41	0.4270205497741699	0.072970465	Yes	
row_10	RPL14	48	0.4124799966812134	0.080122575	Yes	
row_11	RPS4X	53	0.40719887614250183	0.08737821	Yes	
row_12	RPL3	54	0.40586018562316895	0.0948409	Yes	
row_13	RPL7	58	0.3882787227630615	0.102148294	Yes	
row_14	RPS8	60	0.3816029727458954	0.10955922	Yes	
row_15	RPL29	66	0.3788156509399414	0.11676309	Yes	
row_16	RPS5	72	0.37226295471191406	0.12396697	Yes	
row_17	RPL35	79	0.367954820394516	0.13111907	Yes	
row_18	RPS3	82	0.3658863604068756	0.13847823	Yes	
row_19	RPL6	87	0.3635995090007782	0.14573388	Yes	
row_20	RPS14	88	0.3627539277076721	0.15319656	Yes	
row_21	RPSA	93	0.3569100797176361	0.1604522	Yes	
row_22	RPL19	105	0.3345887064933777	0.1673455	Yes	
row_23	RPL9	108	0.3316047191619873	0.17470466	Yes	
row_24	RPS15	110	0.3300909399986267	0.18211558	Yes	
row_25	RPL26	136	0.2977171838283539	0.1882842	Yes	
row_26	RPS16	141	0.29408830404281616	0.19553985	Yes	
row_27	RPS23	152	0.28172945976257324	0.2024849	Yes	
row_28	RPS27A	158	0.2773450016975403	0.20968878	Yes	
row_29	RPL12	171	0.26566219329833984	0.21653031	Yes	
row_30	RPL28	173	0.26486337184906006	0.22394124	Yes	
row_31	RPL10A	175	0.2639334797859192	0.23135217	Yes	
row_32	RPL36	180	0.260449081659317	0.2386078	Yes	
row_33	RPL4	186	0.2572604715824127	0.24581167	Yes	
row_34	RPL17	199	0.24862012267112732	0.2526532	Yes	
row_35	RPLP0	205	0.24691981077194214	0.2598571	Yes	
row_36	RPL24	226	0.23580636084079742	0.26628453	Yes	
row_37	RPL5	229	0.2356249839067459	0.27364367	Yes	
row_38	RPS18	240	0.22926180064678192	0.28058875	Yes	
row_39	RPL18A	263	0.2150278389453888	0.28691265	Yes	
row_40	RPL13A	265	0.21446828544139862	0.29432356	Yes	
row_41	RPS13	280	0.204056978225708	0.3010616	Yes	
row_42	UBA52	297	0.19455310702323914	0.30769607	Yes	
row_43	RPS26	311	0.1898084431886673	0.31448585	Yes	
row_44	RPS25	321	0.18716144561767578	0.32148266	Yes	
row_45	RPL23	333	0.181278795003891	0.32837597	Yes	
row_46	RPL21	360	0.17074793577194214	0.33449283	Yes	
row_47	BCAP31	361	0.17042018473148346	0.3419555	Yes	
row_48	RPL39	379	0.1657097041606903	0.34853825	Yes	
row_49	RPL32	383	0.16385607421398163	0.35584563	Yes	
row_50	RPS7	393	0.15927942097187042	0.36284247	Yes	
row_51	RPL30	508	0.13671688735485077	0.36440423	Yes	
row_52	RPS24	527	0.13423627614974976	0.37093517	Yes	
row_53	RPS10	555	0.12814778089523315	0.37700027	Yes	
row_54	RPL34	569	0.12592796981334686	0.38379005	Yes	
row_55	RPL22	588	0.12158100306987762	0.39032102	Yes	
row_56	RPS12	596	0.12028544396162033	0.39742136	Yes	
row_57	RPS15A	651	0.10993250459432602	0.40208888	Yes	
row_58	RPL35A	677	0.10612644255161285	0.4082575	Yes	
row_59	RPS19	685	0.10490237176418304	0.41535786	Yes	
row_60	RPS20	689	0.10454700887203217	0.42266524	Yes	
row_61	RPL37A	714	0.10077080875635147	0.42888564	Yes	
row_62	RPS28	786	0.08994747698307037	0.4326732	Yes	
row_63	RPLP2	798	0.08757580816745758	0.4395665	Yes	
row_64	RPL36A	929	0.07037428021430969	0.44030005	Yes	
row_65	KDELR1	933	0.06992679089307785	0.44760743	Yes	
row_66	RPL41	958	0.06793563812971115	0.45382783	Yes	
row_67	RPS17	960	0.06787382066249847	0.46123874	Yes	
row_68	RPL31	990	0.06472934782505035	0.46720034	Yes	
row_69	SRP72	1140	0.0514388345181942	0.4669504	Yes	
row_70	GPAA1	1158	0.05010125786066055	0.47353312	Yes	
row_71	DDRGK1	1243	0.043579548597335815	0.47664776	Yes	
