NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STMN1	165	0.27318158745765686	-0.005246486	No	
row_1	FLOT1	271	0.208044171333313	-0.007360794	No	
row_2	RHOA	794	0.08836808055639267	-0.03124374	No	
row_3	TGFB2	1118	0.05350080505013466	-0.044738293	No	
row_4	SIPA1	1224	0.04470495507121086	-0.046852604	No	
row_5	RAC3	1255	0.04279360547661781	-0.045051686	No	
row_6	TIMP2	1545	0.02924354374408722	-0.05677134	No	
row_7	RTN4R	1580	0.028074365109205246	-0.05517924	No	
row_8	ARHGDIG	1790	0.022316167131066322	-0.06272265	No	
row_9	ARHGAP40	2195	0.015258627943694592	-0.08044565	No	
row_10	RHOU	2322	0.013633983209729195	-0.08365622	No	
row_11	RASGRP4	2393	0.012645247392356396	-0.08394343	No	
row_12	LZTR1	2541	0.010711043141782284	-0.08825026	No	
row_13	RASA4	3135	0.005412125959992409	-0.115839615	No	
row_14	GARNL3	3200	0.004924618173390627	-0.1158136	No	
row_15	SPRY3	3213	0.004793780855834484	-0.11307303	No	
row_16	RASGRF1	3329	0.003972083795815706	-0.11570937	No	
row_17	DEPDC7	3867	5.564240273088217E-4	-0.14037536	No	
row_18	GPR4	3883	4.754750116262585E-4	-0.1377914	No	
row_19	RGL2	4108	-8.899979875423014E-4	-0.14611787	No	
row_20	F2RL3	4124	-9.586120140738785E-4	-0.1435339	No	
row_21	LRRD1	4226	-0.001582387019880116	-0.1454394	No	
row_22	ARHGAP4	4246	-0.0017361959908157587	-0.14306425	No	
row_23	EPOR	4328	-0.0021195230074226856	-0.1439257	No	
row_24	RASGRP1	4356	-0.0023057940416038036	-0.14196816	No	
row_25	ARAP3	4425	-0.0026080890092998743	-0.14215097	No	
row_26	GPR35	4505	-0.0030724680982530117	-0.14290799	No	
row_27	GPR65	4719	-0.004210339859127998	-0.15066022	No	
row_28	ARHGEF25	4732	-0.004286156035959721	-0.14791965	No	
row_29	SRC	4972	-0.005491497926414013	-0.15702917	No	
row_30	F2RL1	5111	-0.006032790057361126	-0.16086617	No	
row_31	MYOC	5233	-0.006627405993640423	-0.16381572	No	
row_32	A2M	5629	-0.008538980036973953	-0.1810689	No	
row_33	LPAR4	6053	-0.010342097841203213	-0.19978374	No	
row_34	EPS8L1	6131	-0.010674419812858105	-0.20043637	No	
row_35	RHOF	6610	-0.012653208337724209	-0.22202238	No	
row_36	ABRA	6626	-0.012735121883451939	-0.21943842	No	
row_37	RASAL1	6748	-0.013360921293497086	-0.22238798	No	
row_38	GPR18	6830	-0.013721037656068802	-0.22324942	No	
row_39	FBP1	6870	-0.013967410661280155	-0.22191833	No	
row_40	RIPOR2	6925	-0.014257725328207016	-0.22137028	No	
row_41	VAV1	7186	-0.015424652956426144	-0.23157606	No	
row_42	RHOBTB1	7273	-0.015739979222416878	-0.2326985	No	
row_43	RHOH	7311	-0.015947280451655388	-0.23126301	No	
row_44	SH3BP1	7636	-0.017313456162810326	-0.24480978	No	
row_45	ARHGEF28	7676	-0.01749003678560257	-0.24347869	No	
row_46	GPR55	7765	-0.017927616834640503	-0.24470554	No	
row_47	RASAL3	7998	-0.019102169200778008	-0.25344962	No	
row_48	RELN	8013	-0.019173448905348778	-0.25081345	No	
row_49	ARHGAP9	8282	-0.020535513758659363	-0.26143685	No	
row_50	NUP62	8356	-0.02089475281536579	-0.26188067	No	
row_51	PSD2	8429	-0.021286172792315483	-0.26227227	No	
row_52	PIK3CG	8543	-0.02194557711482048	-0.2648042	No	
row_53	PIK3R2	8798	-0.023448847234249115	-0.27469677	No	
row_54	FGF10	9055	-0.025317037478089333	-0.28469372	No	
row_55	ARHGAP25	9105	-0.025558127090334892	-0.28388464	No	
row_56	SYNPO2L	9127	-0.025711247697472572	-0.28161392	No	
row_57	CDC42	9343	-0.027188297361135483	-0.28947055	No	
row_58	RHOG	9348	-0.027249803766608238	-0.28631237	No	
