NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL11	15	0.5014337301254272	0.016467985	Yes	
row_1	RPL10	41	0.4270205497741699	0.03242037	Yes	
row_2	RPL3	54	0.40586018562316895	0.049043033	Yes	
row_3	RPS5	72	0.37226295471191406	0.0654079	Yes	
row_4	RPL6	87	0.3635995090007782	0.08192744	Yes	
row_5	RPS14	88	0.3627539277076721	0.09916882	Yes	
row_6	RPSA	93	0.3569100797176361	0.116203964	Yes	
row_7	C1QBP	104	0.3370809555053711	0.13292974	Yes	
row_8	RPS15	110	0.3300909399986267	0.14991333	Yes	
row_9	RPLP0	205	0.24691981077194214	0.1623081	Yes	
row_10	RPL24	226	0.23580636084079742	0.17851828	Yes	
row_11	RPL5	229	0.2356249839067459	0.19565654	Yes	
row_12	PPAN	372	0.16806983947753906	0.20557645	Yes	
row_13	BRIX1	390	0.1620536744594574	0.2219413	Yes	
row_14	NOP53	420	0.15471574664115906	0.23768745	Yes	
row_15	RPF2	434	0.1520230770111084	0.25425857	Yes	
row_16	RPS10	555	0.12814778089523315	0.2653128	Yes	
row_17	RPS19	685	0.10490237176418304	0.27590296	Yes	
row_18	MRTO4	718	0.09938176721334457	0.29149443	Yes	
row_19	RPS28	786	0.08994747698307037	0.3052813	Yes	
row_20	EIF6	974	0.06664334237575531	0.31288102	Yes	
row_21	MRPL22	1037	0.06068776175379753	0.3269257	Yes	
row_22	DDX28	1105	0.05416354537010193	0.34071258	Yes	
row_23	NPM1	1217	0.045439254492521286	0.35223085	Yes	
row_24	NLE1	1300	0.040180277079343796	0.36524433	Yes	
row_25	EIF2A	1478	0.031444352120161057	0.37335965	Yes	
row_26	MRPL20	1578	0.02811739780008793	0.38549662	Yes	
row_27	MRPS11	1826	0.021289419382810593	0.39000276	Yes	
row_28	MPV17L2	1935	0.01941283605992794	0.4016757	Yes	
row_29	MTERF4	3416	0.003372848965227604	0.34260875	No	
row_30	TRAF7	4726	-0.004240739159286022	0.2923585	No	
row_31	RPS27	5514	-0.007997696287930012	0.2690224	No	
row_32	RPL3L	6683	-0.012991035357117653	0.22604208	No	
row_33	NIP7	8324	-0.020704861730337143	0.15872559	No	
row_34	RPL38	9420	-0.027776997536420822	0.119509116	No	
row_35	RRS1	9753	-0.03011508285999298	0.119632676	No	
row_36	MRPS7	11120	-0.04207362234592438	0.06644353	No	
row_37	FASTKD2	11571	-0.047033704817295074	0.06048306	No	
row_38	NOP2	11822	-0.05026540532708168	0.06483452	No	
row_39	RPS27L	12119	-0.054296378046274185	0.06681423	No	
row_40	SBDS	13185	-0.06968668848276138	0.029144552	No	
row_41	BOP1	13522	-0.07539568841457367	0.029061878	No	
row_42	RRP7A	13591	-0.07639169692993164	0.0427972	No	
row_43	XRCC5	14020	-0.08381287753582001	0.037971035	No	
row_44	ERAL1	15004	-0.10321830958127975	0.004529249	No	
row_45	RSL24D1	15365	-0.1107124462723732	0.0032091434	No	
row_46	PRKDC	15385	-0.11125173419713974	0.01947089	No	
row_47	MTERF3	16255	-0.132904052734375	-0.008093094	No	
row_48	MRPS2	16268	-0.13313248753547668	0.008529569	No	
row_49	EFL1	16356	-0.13578592240810394	0.021285256	No	
row_50	ABT1	16898	-0.15226753056049347	0.010632848	No	
row_51	DHX30	17171	-0.16168582439422607	0.013849994	No	
row_52	RPL23A	17422	-0.17074888944625854	0.018201454	No	
row_53	PWP2	17842	-0.19013875722885132	0.013839327	No	
row_54	DHX29	18092	-0.20247970521450043	0.018242346	No	
row_55	DHX37	18207	-0.20850761234760284	0.029605921	No	
row_56	MDN1	19288	-0.3482874929904938	-0.008837154	No	
row_57	DDX3X	19397	-0.43280094861984253	0.0028357795	No	
