NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL8	3	0.6215332746505737	0.0023742313	Yes	
row_1	PSMA7	9	0.5335395932197571	0.00464352	Yes	
row_2	RPL15	11	0.5286825895309448	0.007122694	Yes	
row_3	RPL11	15	0.5014337301254272	0.009496925	Yes	
row_4	RPL7A	16	0.49702855944633484	0.012028571	Yes	
row_5	RPL18	18	0.49586421251296997	0.014507745	Yes	
row_6	RPS9	19	0.4956377148628235	0.01703939	Yes	
row_7	RPL13	20	0.49439340829849243	0.019571036	Yes	
row_8	RPS2	23	0.4740262031555176	0.021997739	Yes	
row_9	HSPA8	26	0.46482226252555847	0.024424441	Yes	
row_10	RPL27A	29	0.46032553911209106	0.026851146	Yes	
row_11	RNASEH2C	34	0.43733707070350647	0.029172905	Yes	
row_12	PSMB6	38	0.4338285028934479	0.031547137	Yes	
row_13	RPL10	41	0.4270205497741699	0.03397384	Yes	
row_14	RNH1	43	0.4229198098182678	0.036453012	Yes	
row_15	RPL14	48	0.4124799966812134	0.038774773	Yes	
row_16	RPS4X	53	0.40719887614250183	0.041096535	Yes	
row_17	RPL3	54	0.40586018562316895	0.04362818	Yes	
row_18	PSMA3	55	0.4033578038215637	0.046159822	Yes	
row_19	RPL7	58	0.3882787227630615	0.04858653	Yes	
row_20	RPS8	60	0.3816029727458954	0.051065702	Yes	
row_21	PSMB3	62	0.3797943890094757	0.053544875	Yes	
row_22	RPL29	66	0.3788156509399414	0.055919107	Yes	
row_23	RPS5	72	0.37226295471191406	0.058188394	Yes	
row_24	PSMA2	73	0.3721650540828705	0.06072004	Yes	
row_25	PSMB2	75	0.3707032799720764	0.063199215	Yes	
row_26	RPL35	79	0.367954820394516	0.06557345	Yes	
row_27	RPS3	82	0.3658863604068756	0.06800015	Yes	
row_28	RPL6	87	0.3635995090007782	0.07032191	Yes	
row_29	RPS14	88	0.3627539277076721	0.07285356	Yes	
row_30	RPSA	93	0.3569100797176361	0.075175315	Yes	
row_31	PSMA6	96	0.3505672514438629	0.07760202	Yes	
row_32	RPL19	105	0.3345887064933777	0.07971389	Yes	
row_33	RPL9	108	0.3316047191619873	0.082140595	Yes	
row_34	RPS15	110	0.3300909399986267	0.08461977	Yes	
row_35	VIM	116	0.32361742854118347	0.08688906	Yes	
row_36	PSMD7	123	0.3135051131248474	0.089105874	Yes	
row_37	RPL26	136	0.2977171838283539	0.091007866	Yes	
row_38	PSMB4	138	0.29711490869522095	0.09348704	Yes	
row_39	RPS16	141	0.29408830404281616	0.09591374	Yes	
row_40	EXOSC8	142	0.2939237952232361	0.098445386	Yes	
row_41	PSMD8	147	0.2887265384197235	0.10076714	Yes	
row_42	PSMB1	151	0.2828443646430969	0.103141375	Yes	
row_43	RPS23	152	0.28172945976257324	0.10567302	Yes	
row_44	RPS27A	158	0.2773450016975403	0.10794231	Yes	
row_45	PSMB5	161	0.2757352292537689	0.11036901	Yes	
row_46	RPL12	171	0.26566219329833984	0.11242842	Yes	
row_47	RPL28	173	0.26486337184906006	0.11490759	Yes	
row_48	RPL10A	175	0.2639334797859192	0.117386766	Yes	
row_49	RPL36	180	0.260449081659317	0.11970852	Yes	
row_50	PSMA4	183	0.2600933015346527	0.12213523	Yes	
row_51	RPL4	186	0.2572604715824127	0.12456193	Yes	
