NAME	TITLE	SCORE	
ATP5B		0.70306885	
PPIA		0.65218914	
COX4I1		0.6247012	
RPL8		0.6215333	
ATP5C1		0.58740705	
ATP5D		0.5783508	
MDH2		0.5746928	
ENO1		0.55534285	
MIF		0.54523695	
PSMA7		0.5335396	
IDH2		0.53003985	
RPL15		0.5286826	
CCNB2		0.523366	
GALK1		0.52196246	
GAPDH		0.510395	
RPL11		0.50143373	
RPL7A		0.49702856	
ATP5O		0.49648774	
RPL18		0.4958642	
RPS9		0.4956377	
RPL13		0.4943934	
EIF4A1		0.4914411	
CCT5		0.47538704	
RPS2		0.4740262	
PHGDH		0.47057778	
CCT7		0.46785143	
HSPA8		0.46482226	
PRDX2		0.46290463	
MYL6		0.46207964	
RPL27A		0.46032554	
ATP5A1		0.44284657	
TKT		0.44190997	
NDUFV1		0.44091237	
IGFBP2		0.44005382	
RNASEH2C		0.43733707	
GCAT		0.43485108	
ALDOA		0.43469602	
PRMT1		0.434372	
PSMB6		0.4338285	
TPI1		0.43364456	
CDC20		0.4286372	
RPL10		0.42702055	
FBL		0.4261413	
RNH1		0.4229198	
ATPIF1		0.42233554	
EIF3K		0.4212094	
RACK1		0.4187149	
UQCRC1		0.41303492	
RPL14		0.41248	
SDHB		0.41178358	
NAXE		0.4113608	
MDH1		0.40883183	
CD63		0.40732276	
RPS4X		0.40719888	
RPL3		0.4058602	
PSMA3		0.4033578	
COPE		0.3987191	
PCOLCE		0.39870965	
RPL7		0.38827872	
EIF3I		0.38650453	
RPS8		0.38160297	
LMNA		0.38154685	
PSMB3		0.3797944	
COPS6		0.37966853	
NDUFS3		0.3795731	
NDUFA13		0.37890622	
RPL29		0.37881565	
GSTM1		0.3774516	
PRDX1		0.37499923	
CCT4		0.3747589	
PGLS		0.3746655	
ACTG1		0.37296942	
RPS5		0.37226295	
PSMA2		0.37216505	
IMPDH2		0.3717023	
PSMB2		0.37070328	
PRDX4		0.37029898	
IDH3G		0.36883134	
HSD17B10		0.36862552	
RPL35		0.36795482	
IFITM2		0.36749077	
COX5A		0.36644262	
RPS3		0.36588636	
DYNLL1		0.36562732	
ECH1		0.3655531	
SLC25A4		0.36514184	
CYC1		0.3639922	
RPL6		0.3635995	
RPS14		0.36275393	
NACA		0.36272883	
NME2		0.36196473	
RPS3A1		0.36164248	
SPARC		0.3573266	
RPSA		0.35691008	
IFITM3		0.35237813	
NDUFS7		0.35184437	
PSMA6		0.35056725	
UQCRC2		0.34896123	
GRCC10		0.34787068	
GSN		0.34779802	
NDUFB8		0.34547153	
SAMM50		0.34544763	
DDX39B		0.3453163	
PRMT7		0.3384275	
C1QBP		0.33708096	
RPL19		0.3345887	
BTF3		0.33392048	
ADH5		0.33243546	
RPL9		0.33160472	
ACTB		0.330407	
RPS15		0.33009094	
SWI5		0.32999083	
CCT8		0.3281384	
ISYNA1		0.32626814	
SLC25A3		0.3246576	
TST		0.32407665	
VIM		0.32361743	
GPI1		0.32340553	
TM4SF1		0.31886274	
APRT		0.31771472	
TRAP1		0.31620184	
EEF1G		0.3147139	
COX7B		0.3139272	
PSMD7		0.3135051	
MYL12A		0.31077302	
ECHS1		0.3105285	
CENPV		0.31025273	
HSP90AB1		0.3097612	
PHB2		0.30962148	
FKBP4		0.30661616	
CDKN3		0.30575106	
ATP5F1		0.30428582	
FAM162A		0.3032544	
PKM		0.30292717	
COX7A2		0.30279002	
NDUFC2		0.29875004	
RPL26		0.29771718	
NDUFA7		0.29753998	
PSMB4		0.2971149	
PTOV1		0.29603463	
CUEDC2		0.2944197	
RPS16		0.2940883	
EXOSC8		0.2939238	
ALDH2		0.29373702	
GSTP1		0.2922568	
NDUFB9		0.29172358	
ITM2B		0.28994554	
PSMD8		0.28872654	
NDUFA9		0.28567508	
NDUFV2		0.28458828	
AURKAIP1		0.28342503	
PSMB1		0.28284436	
RPS23		0.28172946	
PGK1		0.27955636	
FH1		0.2794001	
LDHA		0.27890837	
TMEM205		0.27848852	
VPS28		0.27766776	
RPS27A		0.277345	
CD81		0.2770129	
EIF3M		0.2768855	
PSMB5		0.27573523	
GPX4		0.27559322	
SNRPD2		0.27458796	
FTL1		0.2741946	
STMN1		0.2731816	
CTSL		0.2712135	
IFT43		0.27109504	
MRPL24		0.26709396	
CCS		0.26681328	
SNRPA		0.26615477	
RPL12		0.2656622	
FDPS		0.2656066	
RPL28		0.26486337	
VDAC2		0.26441678	
RPL10A		0.26393348	
PTMS		0.26391515	
NME4		0.26278713	
NT5DC2		0.26188505	
NENF		0.26123416	
RPL36		0.26044908	
OSGEP		0.26020235	
S100A10		0.26009944	
PSMA4		0.2600933	
PTMA		0.2589571	
GSTM5		0.2586222	
RPL4		0.25726047	
MRI1		0.25712305	
MRPL42		0.2562909	
FKBP11		0.25546575	
CENPA		0.25536808	
COX5B		0.2552901	
STOML2		0.25329804	
SAP18		0.25300044	
PYCR2		0.2510923	
GLRX3		0.2499019	
RDM1		0.24982339	
SERF2		0.24959002	
MRPS35		0.24923585	
RPL17		0.24862012	
H2-K1		0.24816556	
MGST1		0.24811143	
SUB1		0.24761474	
ADH7		0.247303	
NMRAL1		0.24703473	
RPLP0		0.24691981	
YIF1B		0.24626021	
COX6B1		0.24607246	
RBM8A		0.24498205	
SCX		0.24467432	
PFDN2		0.24314138	
MT1		0.24291578	
NTAN1		0.24281396	
CNPY2		0.24265876	
GRHPR		0.24263339	
PPIC		0.24157354	
PSMG2		0.240754	
NDUFB7		0.24069983	
MPND		0.24023145	
NDUFB5		0.23813097	
SNRPC		0.23765767	
H2AFV		0.23758666	
RUVBL1		0.2372388	
LDHB		0.23703599	
MRPL30		0.23687235	
TSPO		0.23611979	
RPL24		0.23580636	
ACOT13		0.23566313	
S100A6		0.23565973	
RPL5		0.23562498	
MRPS15		0.23428835	
NPC2		0.23371275	
MRPL23		0.23319279	
AKR7A5		0.23284757	
EIF3E		0.23247571	
NDUFB11		0.23215418	
NDUFS2		0.23190738	
TUBB5		0.23154916	
FABP5		0.2309858	
CHMP2A		0.23070952	
RPS18		0.2292618	
