NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA3	55	0.4033578038215637	0.008788025	Yes	
row_1	IFITM2	80	0.3674907684326172	0.01917671	Yes	
row_2	IFITM3	94	0.35237812995910645	0.030133372	Yes	
row_3	LAP3	284	0.20222389698028564	0.03200241	Yes	
row_4	IFI30	316	0.18848158419132233	0.042029656	Yes	
row_5	PSME1	348	0.1751604676246643	0.052056905	Yes	
row_6	IFITM1	373	0.1672399640083313	0.06244559	Yes	
row_7	BST2	397	0.15881672501564026	0.07288591	Yes	
row_8	MVB12A	432	0.15224391222000122	0.082758255	Yes	
row_9	PSME2	864	0.07912924885749817	0.07213181	Yes	
row_10	GMPR	874	0.07787961512804031	0.08329501	Yes	
row_11	IFI35	1041	0.06011944264173508	0.08635163	Yes	
row_12	ISG20	1327	0.038642045110464096	0.083263785	Yes	
row_13	MOV10	1335	0.03838249295949936	0.094530255	Yes	
row_14	NMI	1530	0.029921751469373703	0.09614112	Yes	
row_15	LAMP3	1643	0.026362566277384758	0.101986	Yes	
row_16	B2M	2024	0.01792595162987709	0.0939929	No	
row_17	IFI44L	2196	0.015245634131133556	0.09679136	No	
row_18	UBE2L6	3064	0.0059734839014709	0.06365239	No	
row_19	CNP	3243	0.0045959558337926865	0.06608941	No	
row_20	CCRL2	3426	0.0033300709910690784	0.06831989	No	
row_21	LGALS3BP	3469	0.003040316980332136	0.07777915	No	
row_22	DDX60	3554	0.002534829080104828	0.08506978	No	
row_23	DHX58	3874	5.231850082054734E-4	0.08022638	No	
row_24	UBA7	5152	-0.006212899927049875	0.025917381	No	
row_25	SELL	5394	-0.007465439848601818	0.02510144	No	
row_26	RTP4	6000	-0.010123210027813911	0.005490642	No	
row_27	TRIM14	6154	-0.010764174163341522	0.009218513	No	
row_28	EPSTI1	6645	-0.012836395762860775	-0.004454349	No	
row_29	TAP1	6905	-0.014139075763523579	-0.006199706	No	
row_30	IFI44	6941	-0.01435152254998684	0.0036210034	No	
row_31	TRIM5	7141	-0.015250520780682564	0.0049737003	No	
row_32	SP110	7661	-0.017433051019906998	-0.0101965545	No	
row_33	USP18	8303	-0.020629320293664932	-0.031666186	No	
row_34	IL7	8337	-0.020781243219971657	-0.021742206	No	
row_35	TRIM21	8419	-0.0212498027831316	-0.014296671	No	
row_36	CASP1	8845	-0.023852385580539703	-0.02461331	No	
row_37	CD74	8874	-0.02406039461493492	-0.014431161	No	
row_38	ISG15	9257	-0.026515260338783264	-0.022527527	No	
row_39	IRF7	9770	-0.030266396701335907	-0.037336342	No	
row_40	PROCR	9791	-0.03046334907412529	-0.02674112	No	
row_41	IL15	9818	-0.030743448063731194	-0.016455702	No	
row_42	RIPK2	9974	-0.03188281133770943	-0.012831099	No	
row_43	LPAR6	10026	-0.03223169222474098	-0.003836538	No	
row_44	IRF9	10885	-0.03993122652173042	-0.036510795	No	
row_45	HELZ2	10984	-0.04090426489710808	-0.029943042	No	
row_46	RNF31	10986	-0.04092264920473099	-0.018366767	No	
row_47	TMEM140	11263	-0.04348007217049599	-0.020989906	No	
row_48	PARP12	11336	-0.04429694637656212	-0.013079664	No	
row_49	LY6E	11460	-0.04562359303236008	-0.007802766	No	
row_50	PSMB9	11477	-0.04583108425140381	0.0029989935	No	
row_51	OGFR	11628	-0.0476144477725029	0.006881767	No	
row_52	GBP2	12063	-0.05335841327905655	-0.0038995787	No	
row_53	PARP9	12094	-0.05388115346431732	0.0061793015	No	
row_54	RSAD2	12155	-0.05469091609120369	0.014709155	No	
row_55	IFIT3	12360	-0.05748054012656212	0.01580368	No	
row_56	PSMB8	12373	-0.057690467685461044	0.026811978	No	
row_57	STAT2	12383	-0.05781970173120499	0.037975177	No	
row_58	CMPK2	13012	-0.06701180338859558	0.017176792	No	
row_59	HERC6	13178	-0.06956791877746582	0.020285051	No	
row_60	CASP8	13414	-0.073546402156353	0.019778917	No	
row_61	SAMD9L	13434	-0.07375741004943848	0.030425772	No	
row_62	IFIH1	13483	-0.0747189149260521	0.039575238	No	
row_63	PARP14	13498	-0.07496210187673569	0.050480265	No	
row_64	TRAFD1	13568	-0.07612904906272888	0.05854541	No	
row_65	TDRD7	13614	-0.07663632184267044	0.06784978	No	
row_66	IFI27	13741	-0.07884883135557175	0.07297177	No	
row_67	PLSCR1	13970	-0.08306804299354553	0.07282708	No	
row_68	SLC25A28	14686	-0.09709163755178452	0.047536515	No	
row_69	IFIT2	14906	-0.10145127773284912	0.04785653	No	
row_70	CD47	14907	-0.10148493945598602	0.059484433	No	
row_71	TENT5A	15279	-0.10887634754180908	0.051956043	No	
row_72	CSF1	15421	-0.11223870515823364	0.056303527	No	
row_73	ADAR	15604	-0.11649920791387558	0.058534004	No	
row_74	EIF2AK2	15646	-0.11745645850896835	0.06804491	No	
row_75	TRIM26	16558	-0.14140483736991882	0.03263404	No	
row_76	IRF2	16686	-0.14577138423919678	0.037704397	No	
row_77	NCOA7	16741	-0.1475292593240738	0.046544056	No	
row_78	IRF1	17268	-0.16529574990272522	0.031012364	No	
row_79	ELF1	17473	-0.1724955141544342	0.032106888	No	
row_80	NUB1	17757	-0.186218723654747	0.029122312	No	
row_81	CXCL10	17864	-0.19086600840091705	0.03527699	No	
row_82	TRIM25	18301	-0.21441994607448578	0.024392376	No	
row_83	CMTR1	18329	-0.21596366167068481	0.03462616	No	
row_84	TXNIP	18344	-0.2169194519519806	0.045531187	No	
row_85	PNPT1	18632	-0.23810943961143494	0.042340074	No	
