NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH2	10	0.5300398468971252	0.010121742	Yes	
row_1	PRDX1	68	0.3749992251396179	0.017815672	Yes	
row_2	ECH1	84	0.3655531108379364	0.027679136	Yes	
row_3	SLC25A4	85	0.3651418387889862	0.038317434	Yes	
row_4	FDPS	172	0.2656066119670868	0.044513352	Yes	
row_5	TSPO	225	0.23611979186534882	0.05246556	Yes	
row_6	ECI2	500	0.13825108110904694	0.048950236	Yes	
row_7	ERCC1	541	0.13053444027900696	0.05752231	Yes	
row_8	SOD2	548	0.12932388484477997	0.06785068	Yes	
row_9	SOD1	563	0.12699788808822632	0.07776579	Yes	
row_10	PEX6	781	0.09018130600452423	0.07719484	Yes	
row_11	ACOT8	863	0.07917050272226334	0.08364903	Yes	
row_12	HSD17B4	1252	0.04296135529875755	0.074244976	Yes	
row_13	RETSAT	1310	0.03945200517773628	0.08193891	Yes	
row_14	MLYCD	1340	0.038252267986536026	0.09107919	Yes	
row_15	SLC25A17	1350	0.03783281892538071	0.101252586	Yes	
row_16	CNBP	1361	0.037147145718336105	0.11137433	Yes	
row_17	FIS1	1516	0.030261194333434105	0.114057675	Yes	
row_18	GSTK1	1553	0.029044050723314285	0.12283637	Yes	
row_19	HMGCL	1562	0.02882082387804985	0.13306142	Yes	
row_20	SERPINA6	1600	0.02760823257267475	0.14178847	Yes	
row_21	ITGB1BP1	1712	0.024399660527706146	0.14669299	Yes	
row_22	ALDH9A1	2022	0.01793723925948143	0.14136973	No	
row_23	EPHX2	2996	0.00650047417730093	0.10174716	No	
row_24	HSD17B11	3895	3.4091700217686594E-4	0.06599877	No	
row_25	HSD11B2	4269	-0.0018056189874187112	0.05736954	No	
row_26	CEL	4325	-0.002094890922307968	0.06516679	No	
row_27	PEX2	5556	-0.008266253396868706	0.012268744	No	
row_28	DIO1	5785	-0.009283923543989658	0.011129574	No	
row_29	NR1I2	5950	-0.009900729171931744	0.01329636	No	
row_30	CDK7	6108	-0.010576789267361164	0.015824735	No	
row_31	ABCB9	6147	-0.010721194557845592	0.02450012	No	
row_32	EHHADH	6461	-0.011991038918495178	0.018970229	No	
row_33	CRABP2	6702	-0.01311698742210865	0.017211191	No	
row_34	SLC25A19	6768	-0.013453505001962185	0.024491878	No	
row_35	NUDT19	6960	-0.014423907734453678	0.025263963	No	
row_36	YWHAH	7049	-0.014869330450892448	0.031356573	No	
row_37	ESR2	7278	-0.015769105404615402	0.030217402	No	
row_38	ABCC8	7598	-0.017180578783154488	0.024377577	No	
row_39	CRABP1	8197	-0.020112765952944756	0.0041258493	No	
row_40	SCP2	8253	-0.02037707343697548	0.0119230915	No	
row_41	MVP	8475	-0.02150142937898636	0.01114551	No	
row_42	PEX11A	8615	-0.022326115518808365	0.014603685	No	
row_43	SCGB1A1	8661	-0.02262004092335701	0.022917483	No	
row_44	ABCD2	8712	-0.022909188643097878	0.030973002	No	
row_45	SLC27A2	9657	-0.029395200312137604	-0.0071515488	No	
row_46	IDH1	9851	-0.031011352315545082	-0.006482774	No	
row_47	CLN6	10108	-0.03288848698139191	-0.0090683	No	
row_48	ABCB4	10535	-0.036774203181266785	-0.02043527	No	
row_49	PEX11B	10690	-0.038188621401786804	-0.017751928	No	
row_50	TTR	11124	-0.04217075556516647	-0.029480489	No	
row_51	HSD3B7	11181	-0.042692653834819794	-0.021734903	No	
row_52	SEMA3C	11642	-0.047758154571056366	-0.034858163	No	
row_53	ALDH1A1	11659	-0.048006217926740646	-0.025046354	No	
row_54	CRAT	11785	-0.04970039054751396	-0.020865	No	
row_55	PEX5	12699	-0.062398411333560944	-0.057388227	No	
row_56	SLC35B2	12709	-0.0625215694308281	-0.047214832	No	
row_57	CAT	12960	-0.06622438132762909	-0.049490422	No	
row_58	ABCD1	13330	-0.07218339294195175	-0.057913028	No	
row_59	PRDX5	13506	-0.07509839534759521	-0.056314453	No	
row_60	DLG4	13564	-0.076022669672966	-0.048620522	No	
row_61	PEX14	13836	-0.08051136881113052	-0.051980883	No	
row_62	CADM1	14329	-0.09021889418363571	-0.06675712	No	
row_63	CACNA1B	14541	-0.09432467073202133	-0.067018144	No	
row_64	ISOC1	14656	-0.09657367318868637	-0.06226858	No	
row_65	CLN8	14843	-0.10024984925985336	-0.061238218	No	
row_66	RDH11	15197	-0.10703738778829575	-0.068834335	No	
row_67	LONP2	15467	-0.11330223828554153	-0.07209138	No	
row_68	HRAS	15671	-0.11800548434257507	-0.07193916	No	
row_69	ACSL5	16106	-0.12889961898326874	-0.08371937	No	
row_70	CTBP1	16126	-0.12936362624168396	-0.07406253	No	
row_71	SULT2B1	16177	-0.13075923919677734	-0.06600701	No	
row_72	PEX13	16335	-0.13545174896717072	-0.06347864	No	
row_73	ACSL1	16385	-0.13681860268115997	-0.055371463	No	
row_74	SLC23A2	16451	-0.1383248120546341	-0.04809078	No	
row_75	ERCC3	16475	-0.13893857598304749	-0.03864056	No	
row_76	ELOVL5	16526	-0.14041996002197266	-0.03058504	No	
row_77	DHCR24	16542	-0.14091822504997253	-0.020721575	No	
row_78	DHRS3	16648	-0.14454908668994904	-0.015507111	No	
row_79	MSH2	16767	-0.1483066827058792	-0.010964169	No	
row_80	ABCC5	16916	-0.15277613699436188	-0.007970895	No	
row_81	ACOX1	17443	-0.17136363685131073	-0.024503421	No	
row_82	ATXN1	17446	-0.17153452336788177	-0.013968435	No	
row_83	GNPAT	17566	-0.17690250277519226	-0.009477149	No	
row_84	ABCD3	17673	-0.1818966418504715	-0.0043143407	No	
row_85	FADS1	18011	-0.19763650000095367	-0.011083966	No	
row_86	BCL10	18041	-0.1995045393705368	-0.0019436802	No	
row_87	IDI1	18072	-0.20151907205581665	0.007144951	No	
row_88	IDE	18885	-0.2659095525741577	-0.024161067	No	
row_89	ACSL4	18895	-0.26690366864204407	-0.013987669	No	
row_90	VPS4B	18949	-0.27300184965133667	-0.0060871155	No	
row_91	SMARCC1	19441	-0.5281107425689697	-0.020811697	No	
row_92	PABPC1	19443	-0.5301887392997742	-0.010225056	No	
row_93	TOP2A	19446	-0.5671617984771729	3.0993077E-4	No	
