NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F13A1	436	-0.002412131056189537	0.021038735	Yes	
row_1	SERPINC1	2018	-0.011100320145487785	-0.016852017	Yes	
row_2	GP5	2625	-0.014799182303249836	-0.0045626382	Yes	
row_3	A2M	2916	-0.016705399379134178	0.023990251	Yes	
row_4	KNG1	3140	-0.018143609166145325	0.055991415	Yes	
row_5	F11	3461	-0.020401056855916977	0.0830003	Yes	
row_6	KLKB1	3668	-0.021850109100341797	0.1158764	Yes	
row_7	APOH	3720	-0.02225697971880436	0.15672986	Yes	
row_8	FGB	4324	-0.027285097166895866	0.16917363	Yes	
row_9	FN1	4835	-0.03190426155924797	0.18640383	Yes	
row_10	FGG	6337	-0.04926376789808273	0.15263042	Yes	
row_11	F9	6603	-0.052961453795433044	0.18246998	Yes	
row_12	F3	7378	-0.06381697207689285	0.18611294	Yes	
row_13	PRCP	7468	-0.06518779695034027	0.22501065	Yes	
row_14	F2	7651	-0.06759808957576752	0.25912195	Yes	
row_15	FBLN1	10529	-0.1200137734413147	0.15453023	No	
row_16	F8	10777	-0.12612491846084595	0.18529618	No	
row_17	F10	11016	-0.13235704600811005	0.21652535	No	
row_18	F7	14931	-0.25478968024253845	0.058562543	No	
row_19	TFPI	15873	-0.29961785674095154	0.053610545	No	
row_20	SERPING1	16776	-0.35407352447509766	0.05066575	No	
row_21	C1QBP	18829	-0.6851151585578918	-0.011465868	No	
row_22	VWF	19323	-1.1725422143936157	0.00663926	No	
