NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FASTKD2	222	-0.0012725699925795197	-0.00904514	No	
row_1	LARP6	294	-0.0016604659613221884	-0.010171253	No	
row_2	TYMS	348	-0.0019150819862261415	-0.010353376	No	
row_3	CHRNA7	426	-0.0023615940008312464	-0.011794153	No	
row_4	NSUN5	525	-0.0028850920498371124	-0.014336251	No	
row_5	EIF4B	620	-0.0034480029717087746	-0.016668573	No	
row_6	ANG	644	-0.003550272900611162	-0.01527738	No	
row_7	ZC3H12D	677	-0.0037457740399986506	-0.0143581815	No	
row_8	MIF4GD	735	-0.004021423868834972	-0.01475008	No	
row_9	PDK3	1033	-0.005602519027888775	-0.027728511	No	
row_10	METTL5	1038	-0.005618270020931959	-0.025340885	No	
row_11	PDK2	1234	-0.006707427091896534	-0.03297004	No	
row_12	TARBP2	1364	-0.00736046489328146	-0.0371379	No	
row_13	EIF5	1430	-0.007763824891299009	-0.037949346	No	
row_14	DIO2	2060	-0.011414846405386925	-0.06833915	No	
row_15	DAZL	2115	-0.011759894900023937	-0.06857371	No	
row_16	MAPKAPK5	2539	-0.014281053096055984	-0.088160075	No	
row_17	EEF2	2581	-0.014462371356785297	-0.08771287	No	
row_18	GZMB	2754	-0.015665855258703232	-0.09413582	No	
row_19	NR1H4	2925	-0.0167202390730381	-0.100453876	No	
row_20	SIRT3	2927	-0.016744939610362053	-0.097908914	No	
row_21	DPH1	3267	-0.01907692849636078	-0.11308999	No	
row_22	PINK1	3278	-0.019197579473257065	-0.111017026	No	
row_23	NGRN	3457	-0.020385272800922394	-0.11775464	No	
row_24	MTG1	3732	-0.022343777120113373	-0.12952685	No	
row_25	NCBP2	3783	-0.022660378366708755	-0.12955165	No	
row_26	CD28	4008	-0.0245500598102808	-0.13870168	No	
row_27	PDK4	4061	-0.025103192776441574	-0.13883136	No	
row_28	DNAJC24	4113	-0.02557651326060295	-0.1389086	No	
row_29	EIF4A3	4315	-0.027224326506257057	-0.1468524	No	
row_30	IGF2BP2	4560	-0.029503226280212402	-0.15705131	No	
row_31	ORMDL2	5006	-0.03366861119866371	-0.17779145	No	
row_32	MTRF1	5215	-0.035916589200496674	-0.18610236	No	
row_33	TACO1	5394	-0.037967972457408905	-0.19283998	No	
row_34	GUF1	5461	-0.03874083608388901	-0.19370387	No	
row_35	ABCA7	5463	-0.03877003490924835	-0.1911589	No	
row_36	MPV17L2	5480	-0.03885740414261818	-0.18940061	No	
row_37	SHMT1	5603	-0.040098968893289566	-0.19320136	No	
row_38	RPUSD4	5663	-0.04096846655011177	-0.19369815	No	
row_39	TRUB2	5688	-0.04132990539073944	-0.1923594	No	
row_40	MTG2	5945	-0.044390756636857986	-0.20318763	No	
row_41	RPL22	6063	-0.045792002230882645	-0.20672616	No	
row_42	ERBB2	6070	-0.04589199647307396	-0.20444342	No	
row_43	CLU	6165	-0.04717496037483215	-0.20677574	No	
row_44	PGAM1	6342	-0.04932919517159462	-0.21340847	No	
