NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A2	17	-9.560000034980476E-5	0.009022527	Yes	
row_1	ADRA1B	188	-0.0010691130300983787	0.010138896	Yes	
row_2	BDKRB2	257	-0.0014788859989494085	0.016526038	Yes	
row_3	ACE2	259	-0.001486698049120605	0.026375353	Yes	
row_4	P2RY2	568	-0.003094976069405675	0.020360677	Yes	
row_5	CPS1	702	-0.003891777014359832	0.023388991	Yes	
row_6	ADRA1D	1051	-0.005681403912603855	0.0153073445	Yes	
row_7	ADRB3	1373	-0.007404359057545662	0.008620902	Yes	
row_8	EXT2	1465	-0.00791564304381609	0.013819536	Yes	
row_9	ADORA1	1867	-0.010216709226369858	0.0029991544	Yes	
row_10	HRH1	1921	-0.010507105849683285	0.010161409	Yes	
row_11	OXTR	1930	-0.010570384562015533	0.019649005	Yes	
row_12	SNTA1	1993	-0.010953202843666077	0.026346192	Yes	
row_13	AGT	2017	-0.0110981659963727	0.035058673	Yes	
row_14	SMTNL2	2210	-0.012224527075886726	0.03503821	Yes	
row_15	KCNMB4	2271	-0.012617300264537334	0.041838747	Yes	
row_16	P2RY1	2335	-0.012964376248419285	0.04848426	Yes	
row_17	SOD2	2385	-0.013355663977563381	0.05585321	Yes	
row_18	FOXC2	2400	-0.013451408594846725	0.06503076	Yes	
row_19	ADRB1	2579	-0.01445153821259737	0.06573373	Yes	
row_20	HTR1D	2909	-0.01667954958975315	0.058633897	Yes	
row_21	NPR1	3008	-0.01725751720368862	0.06347081	Yes	
row_22	TBXA2R	3133	-0.01810416579246521	0.066964194	Yes	
row_23	KNG1	3140	-0.018143609166145325	0.07655514	Yes	
row_24	ITGA1	3640	-0.021639619022607803	0.06067068	Yes	
row_25	NPPB	3792	-0.022720718756318092	0.06276886	Yes	
row_26	SERPINF2	3873	-0.02344932034611702	0.06853591	Yes	
row_27	EDN1	3894	-0.023614022880792618	0.07740342	Yes	
row_28	FGB	4324	-0.027285097166895866	0.06513616	Yes	
row_29	GCLM	4515	-0.029000796377658844	0.06521904	Yes	
row_30	HTR7	4541	-0.029373761266469955	0.073828176	Yes	
row_31	AVPR1A	4591	-0.029763121157884598	0.08119713	Yes	
row_32	KCNMA1	4923	-0.03280264139175415	0.07399394	Yes	
row_33	APLN	5184	-0.03547636792063713	0.07045963	Yes	
row_34	COMP	5261	-0.03632983937859535	0.076433375	Yes	
row_35	KCNMB2	5988	-0.04480436444282532	0.048818864	Yes	
row_36	ADORA2A	6303	-0.04881966859102249	0.04249414	Yes	
row_37	MKKS	6305	-0.048834703862667084	0.052343458	Yes	
row_38	PRKG1	6328	-0.0491003692150116	0.061107613	Yes	
row_39	FGG	6337	-0.04926376789808273	0.07059521	Yes	
row_40	ARHGAP42	6617	-0.0531291700899601	0.06607909	Yes	
row_41	F2RL1	6767	-0.05500636249780655	0.068280615	Yes	
row_42	AVPR2	6838	-0.05620228499174118	0.074564405	Yes	
row_43	HTR2B	6890	-0.05684781074523926	0.08183001	Yes	
row_44	PLOD3	6957	-0.05776088684797287	0.0883205	Yes	
row_45	ADM	7342	-0.06315748393535614	0.07837858	Yes	
row_46	F2R	7534	-0.0660405308008194	0.07840979	Yes	
row_47	CHRM3	7865	-0.07081937044858932	0.07125828	Yes	
row_48	KLF2	7909	-0.0715031698346138	0.07893728	Yes	
row_49	HTR1B	7940	-0.07200087606906891	0.08728804	Yes	
row_50	TRPM4	7995	-0.07300642877817154	0.09439862	Yes	
row_51	GCLC	8029	-0.07356477528810501	0.10259436	Yes	
row_52	ADRB2	8109	-0.07495476305484772	0.108413085	Yes	
row_53	SLC6A4	8154	-0.07591638714075089	0.11604041	Yes	
row_54	GPER1	8161	-0.0759952962398529	0.12563135	Yes	
row_55	P2RX1	8722	-0.08502679318189621	0.10659476	Yes	
row_56	GJA1	8849	-0.08745209127664566	0.1099848	Yes	
row_57	ITGB1BP1	9012	-0.09016096591949463	0.11151456	Yes	
row_58	EDN2	9314	-0.09552057087421417	0.105861604	Yes	
row_59	BBS2	9410	-0.09714973717927933	0.110853545	Yes	
row_60	ASIC2	9582	-0.10046850889921188	0.11191823	Yes	
row_61	CD38	9876	-0.10667961090803146	0.10667867	Yes	
row_62	EDN3	10057	-0.11027602851390839	0.1072783	Yes	
row_63	NOS3	10145	-0.11186905205249786	0.11268363	Yes	
row_64	SOD1	10264	-0.11459778994321823	0.116487056	Yes	
row_65	SCPEP1	10394	-0.11717863380908966	0.11972207	Yes	
row_66	APOE	10523	-0.11982652544975281	0.12300876	Yes	
row_67	NPPA	10577	-0.12107613682746887	0.13017102	Yes	
row_68	SMTNL1	10860	-0.12820151448249817	0.12549986	No	
row_69	ACE	11117	-0.13435524702072144	0.12217225	No	
row_70	PTAFR	11253	-0.13776905834674835	0.12509722	No	
row_71	EXT1	11730	-0.1500426083803177	0.110401265	No	
row_72	ECE1	11940	-0.15520600974559784	0.10950234	No	
row_73	ACTA2	12147	-0.16055741906166077	0.108758435	No	
row_74	PER2	12164	-0.1609468162059784	0.11783264	No	
row_75	AKT1	12173	-0.16124580800533295	0.12732023	No	
row_76	DOCK4	12356	-0.16613712906837463	0.12781651	No	
row_77	ADCY6	12874	-0.18025656044483185	0.111001916	No	
row_78	ICAM1	13128	-0.18844090402126312	0.107829325	No	
row_79	DOCK5	13444	-0.1987123042345047	0.101452924	No	
row_80	CAV1	13484	-0.20006248354911804	0.10933862	No	
row_81	GUCY1A1	13636	-0.2054353654384613	0.1114368	No	
row_82	HTR2A	13842	-0.2117820531129837	0.110744566	No	
row_83	ATG5	14468	-0.2345617264509201	0.088349156	No	
row_84	GCH1	14785	-0.24872592091560364	0.081921086	No	
row_85	CASR	15550	-0.28301379084587097	0.052342955	No	
row_86	RAP1GDS1	15616	-0.2859034836292267	0.058885116	No	
row_87	PIK3C2A	15810	-0.29598939418792725	0.05881298	No	
row_88	FOXC1	15845	-0.2984743118286133	0.06695704	No	
row_89	GPX1	15898	-0.30073514580726624	0.07417098	No	
row_90	EDNRA	16737	-0.3514677584171295	0.040768947	No	
row_91	EGFR	17182	-0.38574695587158203	0.027726572	No	
row_92	ADRA2A	17460	-0.4127108156681061	0.023313796	No	
row_93	BMPR2	17798	-0.44825416803359985	0.015800567	No	
row_94	ZDHHC21	17846	-0.45360860228538513	0.023272866	No	
row_95	ATP2B1	18271	-0.5218933820724487	0.011263978	No	
row_96	ROCK2	18521	-0.5761976838111877	0.008298081	No	
row_97	RGS2	18568	-0.5901795029640198	0.015822055	No	
row_98	ROCK1	18970	-0.7572485208511353	0.005001674	No	
row_99	SLC8A1	19092	-0.8438597321510315	0.00865008	No	
row_100	CALCA	19395	-1.392359972000122	0.0029454485	No	
