HGNC ID	Status	Approved symbol	Approved name	Ensembl gene ID	NCBI gene ID	Chromosome
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein	ENSG00000121410	1	19
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	ENSG00000268895	503538	19
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor	ENSG00000148584	29974	10
HGNC:7	Approved	A2M	alpha-2-macroglobulin	ENSG00000175899	2	12
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1	ENSG00000245105	144571	12
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	ENSG00000166535	144568	12
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1	ENSG00000256661	100874108	12
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2	ENSG00000256904	106478979	12
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1	ENSG00000256069	3	12
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2	ENSG00000184389	127550	1
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	ENSG00000128274	53947	22
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	ENSG00000118017	51146	3
HGNC:1	Entry Withdrawn	A12M1	entry withdrawn			NA
HGNC:2	Entry Withdrawn	A12M2	entry withdrawn			NA
HGNC:3	Entry Withdrawn	A12M3	entry withdrawn			NA
HGNC:4	Entry Withdrawn	A12M4	entry withdrawn			NA
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin	ENSG00000094914	8086	12
HGNC:12	Entry Withdrawn	AABT	entry withdrawn			NA
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase	ENSG00000081760	65985	12
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	ENSG00000250420	729522	5
HGNC:17	Approved	AADAC	arylacetamide deacetylase	ENSG00000114771	13	3
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2	ENSG00000197953	344752	3
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1	ENSG00000242908	101928142	3
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3	ENSG00000188984	126767	1
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4	ENSG00000204518	343066	1
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1	ENSG00000240602	201651	3
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase	ENSG00000109576	51166	4
